r;rid;node1;node2;type;w
r;452981381;213744;91356;0;1
r;452981380;213744;108485;0;1
r;452981379;213744;5536946;0;1
r;452981378;213744;290027;0;1
r;452981377;213744;118334;0;1
r;452981376;213744;46077;0;1
r;452981375;213744;18549;0;1
r;452981374;213744;61015;0;1
r;452981373;213744;5941309;0;1
r;452981372;213744;151662;0;1
r;452981371;213744;5941303;0;1
r;452981370;213744;10579063;0;1
r;452981369;213744;151452;0;1
r;452981368;213744;274866;0;1
r;452981367;213744;24228;0;1
r;452981366;213744;135956;0;1
r;452981365;213744;399629;0;1
r;452981364;213744;164810;0;1
r;452981363;213744;15364904;0;1
r;452981362;213744;37280;0;1
r;452981361;213744;22243;0;1
r;452981360;213744;24656;0;1
r;452981359;213744;155854;0;1
r;452981358;213744;34042;0;1
r;452981357;213744;1994843;0;1
r;452981356;213744;42490;0;1
r;452981355;213744;145901;0;1
r;452981354;213744;32667;0;1
r;452981353;213744;5536943;0;1
r;452981352;213744;14068938;0;1
r;452981351;213744;140008;0;1
r;427915525;213744;13684480;0;1
r;427915526;213744;14068912;0;1
r;329249576;213744;5536944;0;2
r;452745241;213744;152295;0;2
r;329249572;213744;152778;0;3
r;359300166;213744;5536945;0;3
r;359300167;213744;14068910;0;3
r;452745234;213744;119820;0;3
r;452745237;213744;271263;0;3
r;452745238;213744;111936;0;3
r;329249568;213744;123745;0;4
r;359300168;213744;14068911;0;4
r;452745148;213744;182090;0;4
r;452745150;213744;152570;0;4
r;452745155;213744;136766;0;4
r;452745159;213744;152689;0;4
r;452745167;213744;120673;0;4
r;452745168;213744;99849;0;4
r;452745170;213744;17124;0;4
r;452745174;213744;8904;0;4
r;452745178;213744;215052;0;4
r;452745180;213744;72430;0;4
r;452745183;213744;146833;0;4
r;452745184;213744;10116;0;4
r;452745186;213744;56401;0;4
r;452745188;213744;34898;0;4
r;452745191;213744;181639;0;4
r;452745194;213744;106927;0;4
r;452745197;213744;270561;0;4
r;452745201;213744;88827;0;4
r;452745202;213744;128750;0;4
r;452745204;213744;325362;0;4
r;452745209;213744;395991;0;4
r;452745213;213744;2570862;0;4
r;452745216;213744;5880142;0;4
r;452745220;213744;10964966;0;4
r;452745221;213744;8868664;0;4
r;452745225;213744;10437213;0;4
r;452745228;213744;319249;0;4
r;452745233;213744;312614;0;4
r;452745235;213744;2521;0;4
r;452745239;213744;5079;0;4
r;452745240;213744;33998;0;4
r;329249569;213744;191595;0;5
r;329249571;213744;238551;0;5
r;359300165;213744;5536947;0;5
r;452745151;213744;36275;0;5
r;452745153;213744;89142;0;5
r;452745156;213744;83522;0;5
r;452745158;213744;176827;0;5
r;452745160;213744;124291;0;5
r;452745161;213744;93416;0;5
