r;rid;node1;node2;type;w
r;98548603;87987;116980;0;-28
r;291369659;87987;53289;0;-25
r;104270653;87987;119272;0;1
r;110296097;87987;4273280;0;1
r;190487208;87987;278561;0;1
r;213918071;87987;7109803;0;1
r;226783394;87987;219579;0;1
r;271219795;87987;388053;0;1
r;280025766;87987;2591788;0;1
r;289992596;87987;2726895;0;1
r;292618496;87987;9526079;0;1
r;297454492;87987;8768520;0;1
r;312711136;87987;11994196;0;1
r;313226913;87987;2471344;0;1
r;313227179;87987;2569552;0;1
r;352196334;87987;6804711;0;1
r;395537482;87987;6383214;0;1
r;395537483;87987;5896707;0;1
r;395537485;87987;14094383;0;1
r;395537488;87987;13369;0;1
r;395537489;87987;436570;0;1
r;395537490;87987;316850;0;1
r;395537491;87987;2927840;0;1
r;395537494;87987;144938;0;1
r;395537495;87987;4874313;0;1
r;427896062;87987;141795;0;1
r;430308641;87987;362007;0;1
r;195287875;87987;172967;0;2
r;218124454;87987;584428;0;2
r;218124456;87987;9739777;0;2
r;271211942;87987;58768;0;2
r;279554696;87987;10507353;0;2
r;330765863;87987;7110050;0;2
r;351365802;87987;93691;0;2
r;359296784;87987;46157;0;2
r;367864322;87987;2445795;0;2
r;367864359;87987;2556995;0;2
r;373294866;87987;12903122;0;2
r;428624708;87987;384748;0;2
r;428624709;87987;14965366;0;2
r;428624710;87987;15205054;0;2
r;428624711;87987;15267276;0;2
r;428624712;87987;12530522;0;2
r;428624713;87987;154443;0;2
r;428624714;87987;231122;0;2
r;428624715;87987;152727;0;2
r;428624716;87987;14965367;0;2
r;428624717;87987;15233350;0;2
r;428624719;87987;15205057;0;2
r;428624720;87987;15646160;0;2
r;428624722;87987;15770186;0;2
r;434536225;87987;303500;0;2
r;217356130;87987;84972;0;3
r;217580074;87987;9695946;0;3
r;269246900;87987;157007;0;3
r;270488400;87987;343253;0;3
r;351310602;87987;10929825;0;3
r;367865288;87987;14136088;0;3
r;395509760;87987;15410513;0;3
r;395537492;87987;214225;0;3
r;12875109;87987;243890;0;4
r;217120862;87987;9661392;0;4
r;217580076;87987;2425144;0;4
r;191851539;87987;87528;0;5
r;217120865;87987;9657345;0;5
r;218124452;87987;584435;0;5
r;287906319;87987;21694;0;5
r;287906320;87987;137865;0;5
r;297292424;87987;6933160;0;5
r;312328344;87987;1395235;0;5
r;429438113;87987;15226075;0;5
r;12797004;87987;11343;0;6
r;12797020;87987;219052;0;6
r;12797036;87987;87714;0;6
r;216897342;87987;7053830;0;6
r;216897346;87987;7456087;0;6
r;216897348;87987;7332297;0;6
r;216897350;87987;8826746;0;6
r;216897352;87987;7000557;0;6
r;216897354;87987;6952781;0;6
r;216897356;87987;9252090;0;6
r;216897358;87987;9255206;0;6
r;216897360;87987;9255183;0;6
r;216897362;87987;572443;0;6
r;216897364;87987;3229333;0;6
r;216897366;87987;9500914;0;6
r;216897369;87987;9510539;0;6
r;216897372;87987;9532612;0;6
r;216897375;87987;215012;0;6
r;216897378;87987;9573840;0;6
r;216897381;87987;9573839;0;6
r;216897384;87987;9580380;0;6
r;216897387;87987;9580379;0;6
r;216897390;87987;9590810;0;6
r;216897393;87987;9595306;0;6
r;216897396;87987;9595305;0;6
r;216897399;87987;9617694;0;6
r;216897402;87987;322799;0;6
r;364202411;87987;10583006;0;6
r;374069630;87987;285875;0;6
r;374069631;87987;2923207;0;6
r;434456239;87987;15428;0;6
r;214479772;87987;2586233;0;7
r;214479774;87987;2586372;0;7
r;215763600;87987;2470616;0;7
r;216897340;87987;6905410;0;7
r;216897344;87987;8520318;0;7
r;297426338;87987;11254952;0;7
r;328329141;87987;112813;0;7
r;328332880;87987;30030;0;7
r;328332881;87987;224895;0;7
r;346969612;87987;13519513;0;7
r;376161151;87987;53541;0;7
r;434456214;87987;257438;0;7
r;434456215;87987;10487;0;7
r;434456216;87987;124503;0;7
r;434456217;87987;156152;0;7
r;434456221;87987;215527;0;7
r;434456222;87987;152264;0;7
r;434456223;87987;143744;0;7
r;434456224;87987;43146;0;7
r;434456225;87987;5529;0;7
r;434456227;87987;139248;0;7
r;434456229;87987;225274;0;7
r;434456230;87987;78249;0;7
r;434456232;87987;84024;0;7
r;434456233;87987;257695;0;7
r;434456234;87987;165762;0;7
r;434456235;87987;592701;0;7
r;434456236;87987;416899;0;7
r;434456237;87987;120361;0;7
r;434456238;87987;414862;0;7
r;434461763;87987;182760;0;7
r;211496465;87987;8363416;0;8
r;211496116;87987;8994118;0;8
r;215761815;87987;6926499;0;8
r;434455577;87987;151850;0;8
r;434455579;87987;153082;0;8
r;434455582;87987;80574;0;8
r;434455583;87987;155532;0;8
r;434455585;87987;20166;0;8
r;434455590;87987;60903;0;8
r;434455592;87987;134533;0;8
r;434455604;87987;154256;0;8
r;434455618;87987;156018;0;8
