r;rid;node1;node2;type;w
r;77371025;163590;237;0;2
r;77371026;163590;64300;0;2
r;10015268;163590;81320;0;5
r;85003249;163590;87987;0;21
r;369366259;163590;425181;0;21
r;12203075;163590;118092;0;22
r;85003251;163590;260932;0;22
r;85159330;163590;118350;0;22
r;85159338;163590;24660;0;22
r;85159345;163590;19872;0;22
r;85159334;163590;216024;0;24
r;415744400;163590;15110904;0;25
r;12359820;163590;152354;0;26
r;85159342;163590;221992;0;26
r;1686854;163590;224448;0;27
r;85003255;163590;230448;0;27
r;85003257;163590;191118;0;27
r;85003258;163590;157283;0;28
r;85159332;163590;123573;0;28
r;85003260;163590;23178;0;29
r;85003261;163590;34898;0;29
r;85159336;163590;72257;0;30
r;85003264;163590;216023;0;31
r;429077;163590;134927;0;32
r;85159340;163590;206083;0;32
r;85003271;163590;26879;0;34
r;85003269;163590;191119;0;35
r;85003268;163590;24682;0;40
r;14291890;163590;404093;0;42
r;85003263;163590;241591;0;43
r;85003277;163590;58170;0;45
r;103082038;163590;26038;0;52
r;103082037;163590;231399;0;53
r;85003281;163590;15357;0;55
r;1809187;163590;55137;0;60
r;1831486;163590;124092;0;60
r;1809186;163590;152247;0;61
r;9159225;163590;272124;0;61
r;9160417;163590;101661;0;61
r;85003285;163590;146803;0;61
r;9855121;163590;256557;0;62
r;9857569;163590;135190;0;63
r;3137337;163590;9575;0;65
r;1055232;163590;146358;0;75
r;1795214;163590;213995;0;75
r;85003289;163590;166528;0;90
r;1055229;163590;102105;0;130
r;2201470;163590;215071;0;149
r;429075;163590;10879;0;164
r;429076;163590;37412;0;184
r;85003291;163590;2983124;0;238
r;429074;163590;113317;0;283
r;23924535;163590;239128;0;1000000
r;31065474;163590;9575;3;31
r;1471304;163590;146881;4;26
r;1686893;163590;171870;4;41
r;54032953;163590;2586628;4;45
r;54063974;163590;2586629;4;45
r;397806323;163590;14965088;5;10
r;1686908;163590;118092;5;35
r;12177993;163590;152354;5;41
r;85003282;163590;260932;5;57
r;11949283;163590;157284;6;-25
r;97384816;163590;156977;6;2
r;357217351;163590;14094383;6;25
r;85003283;163590;241591;6;58
r;1055231;163590;102105;6;59
r;85003284;163590;157283;6;59
r;3159638;163590;135190;6;95
r;1055230;163590;10879;6;99
r;3137257;163590;256557;6;128
r;2201476;163590;215071;6;213
r;413209080;163590;15246960;9;3
r;14637547;163590;139869;9;4
r;385040408;163590;14868804;9;25
r;432484035;163590;14956396;9;25
r;432484036;163590;14956397;9;25
r;85003252;163590;118350;9;26
r;85003256;163590;123573;9;27
r;85003259;163590;216024;9;28
r;2520921;163590;81320;9;31
r;85003265;163590;72257;9;32
r;85003272;163590;24660;9;34
r;85003274;163590;221992;9;34
r;85003273;163590;206083;9;35
r;85003275;163590;34898;9;35
r;85003276;163590;19872;9;36
r;8799615;163590;2180;10;-5
r;8792905;163590;136786;10;1
r;397806319;163590;14966945;10;10
r;397806320;163590;15107877;10;10
r;397806321;163590;14953191;10;10
r;397806322;163590;15107876;10;10
r;85003250;163590;87987;10;17
r;85003253;163590;213995;10;26
r;85003254;163590;191119;10;26
r;97419137;163590;113317;10;27
r;85003267;163590;191118;10;32
r;383928;163590;151767;12;22
r;1695936;163590;151576;12;22
r;1778013;163590;151663;12;23
r;1695935;163590;151550;12;32
r;1809184;163590;151553;12;34
r;478720827;163590;233194;15;26
r;85003279;163590;136786;15;53
r;85003286;163590;235234;15;64
r;85003287;163590;84829;15;73
r;85003290;163590;230448;15;93
r;2201471;163590;113317;15;171
r;85003292;163590;87987;15;240
r;13675923;163590;191118;15;264
r;13675926;163590;191119;15;270
r;2201472;163590;213995;15;619
r;113441309;163590;53683;17;17
r;432996743;163590;318067;17;25
r;34286293;163590;247812;17;30
r;2201474;163590;67773;17;36
r;85003266;163590;189886;17;39
r;2201475;163590;24682;17;85
r;14806036;163590;23178;17;106
r;394559990;163590;14916413;18;25
r;78805821;163590;163590;19;32
r;2520922;163590;261762;26;30
r;15062242;163590;256339;26;30
r;405832181;163590;7180152;26;30
r;410056780;163590;15429610;26;30
r;431486061;163590;254051;26;30
r;431488029;163590;15452540;26;30
r;253509562;163590;6814965;28;1
r;253517113;163590;86557;28;2
r;289285099;163590;6365345;28;2
r;289285128;163590;6810075;28;2
r;375738100;163590;6345599;28;25
r;375738113;163590;6343580;28;25
r;375738126;163590;6409545;28;25
r;375738145;163590;6391602;28;25
r;375738158;163590;6306100;28;25
r;375738171;163590;6372465;28;25
r;375976238;163590;6286081;28;25
r;375976250;163590;6326424;28;25
r;375976262;163590;6321986;28;25
r;375976276;163590;15784;28;25
r;470981420;163590;15592944;28;25
r;85003262;163590;384166;28;32
r;11330192;163590;4048;28;40
r;11330705;163590;242897;28;40
r;85003280;163590;83053;28;54
r;85003288;163590;166528;28;74
r;380396967;163590;259752;30;25
r;2520923;163590;113767;30;35
r;2520924;163590;40241;30;40
r;85003248;163590;91691;32;17
r;85003247;163590;28453;32;22
r;85003278;163590;14330;32;47
r;9040490;163590;317329;36;16
r;9264046;163590;254877;36;24
r;474109205;163590;276096;36;25
r;77921765;163590;162763;36;34
r;2201467;163590;162759;36;48
r;2201468;163590;191667;36;48
r;54926232;163590;2585997;36;60
r;2426592;163590;254876;36;76
r;9220829;163590;241794;36;114
r;2388559;163590;223173;36;363
r;85003270;163590;134927;50;34
r;2201473;163590;146358;50;45
r;368773606;163590;152354;71;25
r;84429803;163590;118092;71;29
r;3159637;163590;50889;106;31
r;28161135;163590;1705202;128;1
r;85145884;163590;3341569;128;1
r;22970201;163590;1315892;128;7
r;22970209;163590;1315894;128;7
r;22970213;163590;1315895;128;7
r;22970197;163590;1315891;128;9
r;22970205;163590;1315893;128;9
r;22970217;163590;1315896;128;9
r;22970221;163590;1315897;128;9
r;99173579;163590;4356325;128;37
r;450160406;163590;16937147;128;307
r;191822670;163590;8895925;128;365
r;450160418;163590;16937149;128;371
r;191822692;163590;8895929;128;387
r;388341703;163590;14892800;128;421
r;385064406;163590;14876211;128;513
r;107932371;163590;5482840;140;1
r;93408518;163590;3741725;140;2
r;450427689;163590;16945438;140;26
r;450427693;163590;16945439;140;26
r;389629514;163590;14896694;140;31
r;324624000;163590;12678020;200;1
r;325070962;163590;12689295;200;1
r;328042289;163590;12785167;200;1
r;331180616;163590;12904374;200;1
r;333274914;163590;12980217;200;1
r;324587009;163590;12677253;200;2
r;342924946;163590;13536830;200;2
r;342938887;163590;13537061;200;2
r;349484079;163590;13816767;200;2
r;352156195;163590;13985915;200;2
r;357480441;163590;14115770;200;2
r;360828806;163590;14207912;200;2
r;448384418;163590;16913188;200;2
r;447362244;163590;16899714;200;2
r;452058794;163590;16984194;200;2
r;470153177;163590;17327267;200;2
r;470153794;163590;17327273;200;2
r;476037703;163590;17429894;200;2
r;334023997;163590;12993778;200;3
r;359672244;163590;14158710;200;4
r;461988404;163590;17178428;200;4
r;364825273;163590;14350752;200;10
r;394559988;163590;15110904;333;30
r;78066657;163590;3228593;444;37
r;73969716;163590;2983124;555;2011
r;1795209;163590;45109;666;1
r;1795210;163590;32408;666;1
r;1795211;163590;145727;666;1
r;1795212;163590;109457;666;1
r;1795213;163590;133328;666;1
r;1795507;163590;230448;666;1
r;1795509;163590;37412;666;1
r;1802447;163590;65524;666;1
r;1802448;163590;67773;666;1
r;1802449;163590;86746;666;1
r;1802512;163590;83053;666;1
r;1802513;163590;122542;666;1
r;3159634;163590;50889;666;1
r;3159635;163590;66280;666;1
r;3159636;163590;23178;666;1
r;3214278;163590;87987;666;1
r;3214279;163590;152354;666;1
r;11621717;163590;135190;666;1
r;11621718;163590;9575;666;1
r;77371024;163590;237;666;1
r;1471293;163590;24682;666;2
r;1802450;163590;64300;666;2
r;1802510;163590;104130;666;2
r;1802511;163590;58170;666;2
r;1795506;163590;55137;666;3
r;1795508;163590;10879;666;3
r;1471292;163590;134927;666;5
r;1802451;163590;152247;666;5
r;3213111;163590;213995;666;5
r;1802542;163590;146358;666;13
r;3213110;163590;118092;666;19
r;1471294;163590;102105;666;23
r;1802541;163590;113317;666;24
r;4446275;163590;200885;777;8
r;4446286;163590;2237;777;8
r;4446290;163590;26879;777;8
r;4446298;163590;15357;777;8
r;4446312;163590;133328;777;8
r;4446320;163590;274222;777;8
r;4446326;163590;36275;777;8
r;4446336;163590;77735;777;8
r;4446355;163590;54344;777;8
r;4446369;163590;154607;777;8
r;4446378;163590;6637;777;8
r;4446400;163590;12240;777;8
r;4446413;163590;219231;777;8
r;4446419;163590;21130;777;8
r;4446426;163590;110038;777;8
r;4446437;163590;144255;777;8
r;4446447;163590;26493;777;8
r;4446449;163590;120673;777;8
r;4446464;163590;190735;777;8
r;4446479;163590;244443;777;8
r;4446484;163590;86724;777;8
r;4446495;163590;136418;777;8
r;4446509;163590;111654;777;8
r;4446514;163590;32468;777;8
r;4446523;163590;216231;777;8
r;4446539;163590;190742;777;8
r;4446548;163590;235234;777;8
r;4446551;163590;105681;777;8
r;4446565;163590;165284;777;8
r;4446581;163590;71845;777;8
r;4446588;163590;229738;777;8
r;4446592;163590;238220;777;8
r;4446610;163590;42010;777;8
r;4446619;163590;134898;777;8
r;4446625;163590;136079;777;8
r;4446628;163590;156308;777;8
r;4446634;163590;143471;777;8
r;4446655;163590;146553;777;8
r;4446670;163590;164961;777;8
r;4446693;163590;60960;777;8
r;4446703;163590;31388;777;8
r;4446733;163590;84957;777;8
r;4446735;163590;146155;777;8
r;4446738;163590;88798;777;8
r;4446746;163590;86746;777;8
r;4446751;163590;155439;777;8
r;4446752;163590;63281;777;8
r;4446754;163590;125198;777;8
r;4446765;163590;152092;777;8
r;4446774;163590;103118;777;8
r;4446782;163590;107977;777;8
r;4446786;163590;223022;777;8
r;4446793;163590;132010;777;8
r;4446800;163590;86579;777;8
r;4446802;163590;155510;777;8
r;4446803;163590;164033;777;8
r;4446809;163590;219027;777;8
r;4446811;163590;38330;777;8
r;4446814;163590;231551;777;8
r;4446815;163590;274897;777;8
r;4446820;163590;126274;777;8
r;4446822;163590;63195;777;8
r;4446831;163590;59532;777;8
r;4446839;163590;96256;777;8
r;4446844;163590;201584;777;8
r;4446849;163590;112327;777;8
r;4446850;163590;232439;777;8
r;4446857;163590;123456;777;8
r;4446862;163590;279410;777;8
r;4446868;163590;90968;777;8
r;4446873;163590;228877;777;8
r;4446882;163590;164811;777;8
r;4446890;163590;143129;777;8
r;4446899;163590;80739;777;8
r;4446904;163590;10679;777;8
r;4446909;163590;93992;777;8
r;4446917;163590;48168;777;8
r;4446922;163590;59988;777;8
r;4446926;163590;231946;777;8
r;4446931;163590;2531;777;8
r;4446938;163590;35646;777;8
r;4446947;163590;13311;777;8
r;4446950;163590;47142;777;8
r;4446955;163590;195114;777;8
r;4446963;163590;191810;777;8
r;4446965;163590;92002;777;8
r;4446970;163590;135898;777;8
r;4446975;163590;131982;777;8
r;4446979;163590;10490;777;8
r;4446985;163590;65373;777;8
r;4446990;163590;38449;777;8
r;4446997;163590;85301;777;8
r;4447025;163590;244683;777;8
r;4447040;163590;143448;777;8
r;4447041;163590;224673;777;8
r;4447051;163590;188479;777;8
r;4447055;163590;47897;777;8
r;4447063;163590;189733;777;8
r;4447072;163590;10041;777;8
r;4447087;163590;188868;777;8
r;4447096;163590;189579;777;8
r;4447112;163590;7977;777;8
r;4447123;163590;129142;777;8
r;4447130;163590;29408;777;8
r;4447139;163590;125560;777;8
r;4447154;163590;30164;777;8
r;4447165;163590;122780;777;8
r;4447174;163590;67398;777;8
r;4447184;163590;135442;777;8
r;4447212;163590;86643;777;8
r;4447243;163590;125861;777;8
r;4447253;163590;170749;777;8
r;4447262;163590;170765;777;8
r;4447281;163590;189105;777;8
r;4447289;163590;99556;777;8
r;4447298;163590;112621;777;8
r;4447317;163590;137399;777;8
r;4447331;163590;51320;777;8
r;4447342;163590;5426;777;8
r;4447363;163590;130487;777;8
r;4447367;163590;83696;777;8
r;4447378;163590;13844;777;8
r;4447384;163590;57783;777;8
r;4447401;163590;53056;777;8
r;4447410;163590;187404;777;8
r;4447423;163590;189189;777;8
r;4447440;163590;231206;777;8
r;4447460;163590;8977;777;8
r;4447472;163590;64182;777;8
r;4447480;163590;189096;777;8
r;4447499;163590;37234;777;8
r;4447512;163590;50805;777;8
r;4447518;163590;239889;777;8
r;4447534;163590;252323;777;8
r;4447554;163590;119243;777;8
r;4447562;163590;189118;777;8
r;4447570;163590;238579;777;8
r;4447579;163590;146001;777;8
r;4447589;163590;233806;777;8
r;4447606;163590;71467;777;8
r;4447612;163590;225072;777;8
r;4447619;163590;158299;777;8
r;4447626;163590;225061;777;8
r;4447645;163590;273788;777;8
r;4447655;163590;276595;777;8
r;4447665;163590;227830;777;8
r;4447675;163590;232781;777;8
r;4447692;163590;265479;777;8
r;4447704;163590;105571;777;8
r;4447711;163590;170783;777;8
r;4447733;163590;188848;777;8
r;4447744;163590;268262;777;8
r;18642354;163590;416796;777;9
r;18642357;163590;430425;777;9
r;18642363;163590;399681;777;9
r;18642365;163590;14138;777;9
r;18642367;163590;421172;777;9
r;18642369;163590;408617;777;9
r;18642371;163590;404548;777;9
r;18642373;163590;401227;777;9
r;18642375;163590;407196;777;9
r;18642377;163590;408627;777;9
r;18642379;163590;113626;777;9
r;434263345;163590;16073606;777;10
r;434263346;163590;16074417;777;10
r;353103977;163590;52958;777;10
r;353103978;163590;2929320;777;10
r;353103979;163590;11083394;777;10
r;353103981;163590;10001594;777;10
r;353103982;163590;11104637;777;10
r;353103983;163590;5570282;777;10
r;353103984;163590;5966905;777;10
r;353103986;163590;5968695;777;10
r;353103987;163590;2071087;777;10
r;353103988;163590;11013977;777;10
r;353103989;163590;12266351;777;10
r;353103990;163590;10083446;777;10
r;353103991;163590;2570453;777;10
r;353103992;163590;10088631;777;10
r;353103993;163590;10001566;777;10
r;353103994;163590;2575847;777;10
r;353103995;163590;9253401;777;10
r;353103996;163590;2108524;777;10
r;353103997;163590;6066746;777;10
r;353103998;163590;1854860;777;10
r;353103999;163590;2119424;777;10
r;353104000;163590;2480150;777;10
r;353104001;163590;5954548;777;10
r;353104002;163590;12301573;777;10
r;355152465;163590;14049364;777;10
r;360575126;163590;14170819;777;10
r;284031884;163590;8935601;999;3
r;284032105;163590;3695052;999;3
r;284032267;163590;3695053;999;3
r;284032405;163590;8935599;999;3
r;284032517;163590;213996;999;3
r;284032648;163590;3695049;999;3
r;29383037;163590;215074;999;4
r;29383051;163590;215075;999;4
r;29383064;163590;215076;999;4
r;29383077;163590;215078;999;4
r;29383090;163590;215079;999;4
r;29383104;163590;215080;999;4
r;29383120;163590;215807;999;4
r;29393681;163590;1792250;999;15
r;29383012;163590;215072;999;16
r;29383023;163590;215073;999;16
r;211790149;111791;163590;15;-15
r;463151824;17193488;163590;200;-7
r;471510870;16947090;163590;200;-6
r;453632671;17049418;163590;200;-3
r;454061058;17057523;163590;200;-3
r;454140985;17057954;163590;200;-2
r;457698377;17121332;163590;200;-2
r;477010607;17462885;163590;200;-1
r;461599633;17175372;163590;200;-1
r;476607725;17455761;163590;200;-1
r;477113197;17463779;163590;200;-1
r;453025802;16669231;163590;200;-1
r;342924956;13536830;163590;200;-1
r;461234803;17165344;163590;200;-1
r;462872949;17191334;163590;200;-1
r;460678152;17159486;163590;200;-1
r;439610185;16736630;163590;200;-1
r;447362337;16899714;163590;200;-1
r;450625187;16949071;163590;200;-1
r;453166193;17029466;163590;200;-1
r;453913014;17055446;163590;200;-1
r;454136213;17057931;163590;200;-1
r;454252315;17058371;163590;200;-1
r;454278990;17058456;163590;200;-1
r;454354714;17059532;163590;200;-1
r;454882412;17068714;163590;200;-1
r;454963267;17068906;163590;200;-1
r;455032015;17069108;163590;200;-1
r;455197675;17069628;163590;200;-1
r;455346036;17103453;163590;200;-1
r;455373394;17103597;163590;200;-1
r;455418570;17103729;163590;200;-1
r;455426401;17103758;163590;200;-1
r;455454495;17103908;163590;200;-1
r;455480897;17104031;163590;200;-1
r;455785403;17105816;163590;200;-1
r;455837558;17106233;163590;200;-1
r;455849732;17106373;163590;200;-1
r;455922222;17106905;163590;200;-1
r;456085543;17108532;163590;200;-1
r;456090628;17108570;163590;200;-1
r;456237210;17109589;163590;200;-1
r;456258106;17109705;163590;200;-1
r;456262869;17109739;163590;200;-1
