r;rid;node1;node2;type;w
r;32053429;52255;301216;0;1
r;32053506;52255;301138;0;1
r;95948295;52255;336076;0;1
r;346625504;52255;396740;0;1
r;54515654;52255;2409048;0;2
r;219616108;52255;3321950;0;2
r;328894886;52255;12320668;0;3
r;9980460;52255;27405;0;4
r;12884070;52255;157238;0;4
r;31836808;52255;283976;0;4
r;33270086;52255;336099;0;4
r;33270092;52255;336098;0;4
r;33270103;52255;336082;0;4
r;33270110;52255;336088;0;4
r;33270143;52255;336069;0;4
r;33270149;52255;336067;0;4
r;33270175;52255;336105;0;4
r;33270246;52255;336071;0;4
r;33270247;52255;336072;0;4
r;33270257;52255;336091;0;4
r;33270273;52255;336090;0;4
r;33270274;52255;336103;0;4
r;33270276;52255;336111;0;4
r;33270285;52255;336104;0;4
r;33270295;52255;336077;0;4
r;33270306;52255;336074;0;4
r;33270316;52255;336107;0;4
r;33270318;52255;336119;0;4
r;33270320;52255;336106;0;4
r;33270323;52255;336102;0;4
r;33270326;52255;336089;0;4
r;33270328;52255;336125;0;4
r;33270329;52255;336121;0;4
r;33270337;52255;336113;0;4
r;33270347;52255;336118;0;4
r;33270355;52255;336127;0;4
r;33270358;52255;336085;0;4
r;33270365;52255;336115;0;4
r;33270371;52255;336094;0;4
r;33270379;52255;336123;0;4
r;33270380;52255;336078;0;4
r;33270383;52255;336086;0;4
r;33270389;52255;336122;0;4
r;33270391;52255;336075;0;4
r;33270402;52255;336100;0;4
r;33270411;52255;336068;0;4
r;33270413;52255;336109;0;4
r;33270428;52255;336081;0;4
r;33270439;52255;336110;0;4
r;33270451;52255;336092;0;4
r;33270455;52255;336114;0;4
r;33270457;52255;336112;0;4
r;33270471;52255;336087;0;4
r;33270480;52255;336095;0;4
r;33270485;52255;336070;0;4
r;33270486;52255;336126;0;4
r;33270497;52255;336120;0;4
r;33270498;52255;336116;0;4
r;33270513;52255;336129;0;4
r;33270522;52255;336080;0;4
r;33270523;52255;336108;0;4
r;33270539;52255;336079;0;4
r;33270591;52255;336084;0;4
r;33270600;52255;336101;0;4
r;33270601;52255;336097;0;4
r;33270603;52255;336130;0;4
r;33270866;52255;336131;0;4
r;31711592;52255;247706;0;5
r;31764402;52255;273820;0;5
r;32076123;52255;1975892;0;5
r;32076158;52255;303779;0;5
r;32089753;52255;309394;0;5
r;32089773;52255;309392;0;5
r;32103022;52255;310499;0;5
r;33168260;52255;319739;0;5
r;33270443;52255;336096;0;5
r;34688082;52255;87758;0;5
r;9980285;52255;28985;0;6
r;30529791;52255;37889;0;6
r;30864142;52255;251073;0;6
r;30867287;52255;220062;0;6
r;30867304;52255;219844;0;6
r;30867789;52255;226091;0;6
r;30870874;52255;265223;0;6
r;30871121;52255;268799;0;6
r;30871219;52255;269369;0;6
