r;rid;node1;node2;type;w
r;23924045;24758;239128;0;1000000
r;74045453;24758;2983124;555;4141
r;9204183;24758;241794;36;436
r;457378896;24758;17117959;128;399
r;1565830;24758;140176;0;218
r;12369724;24758;252512;6;213
r;1933809;24758;239943;6;207
r;9134629;24758;223173;36;206
r;9925733;24758;265190;6;202
r;8842816;24758;315565;6;200
r;1682601;24758;220337;6;197
r;650514;24758;140176;6;197
r;10761457;24758;40733;6;194
r;13926020;24758;326373;6;193
r;11418260;24758;283634;6;189
r;13513789;24758;265837;6;187
r;11422361;24758;110773;6;186
r;11426837;24758;91794;6;182
r;11431013;24758;101018;6;181
r;2896490;24758;86640;6;179
r;10767696;24758;264881;6;171
r;10862792;24758;265277;6;170
r;10785160;24758;317929;6;168
r;2914803;24758;248081;6;167
r;1678151;24758;186242;11;165
r;8654767;24758;192106;11;164
r;8654765;24758;192105;11;164
r;8652099;24758;190013;11;164
r;12046184;24758;330964;6;162
r;10922512;24758;142602;6;162
r;8682981;24758;209061;11;162
r;1565829;24758;116175;0;161
r;11254657;24758;265220;6;159
r;191781837;24758;8893033;140;156
r;8873351;24758;138452;11;154
r;1530666;24758;17559;6;154
r;1933807;24758;183776;11;153
r;8878152;24758;210316;11;152
r;10750758;24758;115304;6;151
r;10756044;24758;264880;6;150
r;10779889;24758;264908;6;146
r;460703156;24758;17159697;140;143
r;1530680;24758;210227;6;141
r;9612062;24758;55823;6;140
r;1956913;24758;233133;6;138
r;11119819;24758;325741;6;133
r;14414903;24758;329657;6;121
r;11129290;24758;325738;6;120
r;11135993;24758;325736;6;116
r;1937427;24758;140176;35;115
r;11142611;24758;325731;6;112
r;11149232;24758;325728;6;106
r;12692961;24758;352574;11;105
r;10927774;24758;54794;6;101
r;126819564;24758;7904197;140;98
r;2180909;24758;17559;0;97
r;1880192;24758;95422;9;97
r;23083135;24758;1337853;128;91
r;2208037;24758;124919;0;88
r;2067861;24758;95422;0;88
r;126897050;24758;7923984;128;87
r;290377488;24758;11334534;128;83
r;13723620;24758;234036;6;80
r;1716077;24758;213545;9;78
r;23083371;24758;1337912;128;77
r;23083049;24758;1337840;128;77
r;23083045;24758;1337839;128;77
r;23083029;24758;1337835;128;77
r;13865307;24758;225847;6;76
r;11273875;24758;265220;0;76
r;11167228;24758;325728;0;76
r;521497;24758;171870;4;76
r;23083041;24758;1337838;128;75
r;23083037;24758;1337837;128;75
r;23083033;24758;1337836;128;75
r;13861197;24758;65081;6;75
r;2296430;24758;62726;0;75
r;1716081;24758;214240;17;75
r;13982089;24758;260820;6;74
r;11180468;24758;325731;0;74
r;2087076;24758;71624;6;74
r;1884220;24758;225494;6;73
r;11445113;24758;101018;0;72
r;14029654;24758;237445;6;70
r;11193707;24758;325736;0;70
r;11461535;24758;110773;0;69
r;11453338;24758;91794;0;69
r;11207107;24758;325738;0;69
r;9886445;24758;55823;0;69
r;11469725;24758;283634;0;68
r;11225603;24758;325741;0;67
r;1682602;24758;220337;0;67
r;54927106;24758;41962;5;66
r;10956774;24758;142602;0;66
r;10946390;24758;54794;0;66
r;10919276;24758;265277;0;66
r;10811982;24758;264908;0;66
r;10801440;24758;317929;0;66
r;1884218;24758;124919;9;66
r;1682600;24758;119768;0;66
r;23083025;24758;1337834;128;65
r;9869264;24758;315565;0;65
r;1937430;24758;4920;15;65
r;10848192;24758;264880;0;64
r;10837366;24758;40733;0;64
r;10824890;24758;264881;0;64
r;9236677;24758;254877;36;64
r;1577279;24758;114637;6;64
r;24535579;24758;1483990;6;63
r;23083021;24758;1337833;128;63
r;10858765;24758;115304;0;62
r;23083017;24758;1337832;128;61
r;86263555;24758;3362095;11;60
r;86135694;24758;3371580;11;60
r;2180907;24758;183776;0;60
r;23083013;24758;1337831;128;59
r;772285;24758;41962;0;59
r;94047158;24758;3764071;11;58
r;54927105;24758;2585996;36;58
r;9356656;24758;140100;0;58
r;12587;24758;146881;4;58
r;86177189;24758;3366605;11;57
r;23083009;24758;1337830;128;57
r;1579454;24758;159772;0;57
r;9809846;24758;248081;0;56
r;9801845;24758;86640;0;56
r;149466810;24758;156521;17;55
r;23082989;24758;1337825;128;55
r;3085947;24758;240814;24;55
r;2180908;24758;104115;0;55
r;2052092;24758;138452;53;55
r;1937428;24758;140100;35;55
r;31821263;24758;1971244;17;54
r;2148224;24758;213545;28;54
r;631872;24758;189981;6;54
r;282355;24758;24758;19;54
r;86177183;24758;3366606;11;53
r;23083005;24758;1337829;128;53
r;23083001;24758;1337828;128;53
r;2745140;24758;16033;15;53
r;2693186;24758;218648;15;53
r;2153774;24758;216598;15;53
r;1979525;24758;217050;15;53
r;1966480;24758;29786;15;53
r;1941221;24758;64437;15;53
r;1941220;24758;18412;15;53
r;1941203;24758;240504;1;53
r;1937429;24758;137391;15;53
r;98271024;24758;41962;6;51
r;9711426;24758;71624;0;51
r;1941207;24758;217817;36;51
r;419631271;24758;16037520;11;50
r;348335555;24758;13737244;11;50
r;214087919;24758;9491627;11;50
r;213878086;24758;9465728;11;50
r;213859765;24758;9462598;11;50
r;1716075;24758;112239;24;50
r;9687313;24758;225494;0;48
r;2034235;24758;62735;15;48
r;82637222;24758;109785;6;47
r;23082997;24758;1337827;128;47
r;9363083;24758;88575;0;47
r;82270415;24758;140100;6;46
r;1941208;24758;240505;1;46
r;54052259;24758;2586629;4;45
r;54022064;24758;2586628;4;45
r;30900165;24758;71539;0;45
r;23082993;24758;1337826;128;45
r;23082985;24758;1337824;128;45
r;9691547;24758;233133;0;45
r;9689264;24758;239943;0;45
r;8835926;24758;88575;35;45
r;8835924;24758;183776;35;45
r;2208085;24758;248814;1;45
r;61423728;24758;2528655;5;44
r;1941212;24758;240506;1;44
r;414076365;24758;15900971;128;43
r;23082981;24758;1337823;128;43
r;2594935;24758;217331;0;43
r;2041345;24758;219191;0;43
r;98270996;24758;52611;10;42
r;33430437;24758;28453;32;42
r;30877472;24758;71539;3;42
r;9363084;24758;109785;0;42
r;8835927;24758;109785;35;42
r;2208035;24758;92955;0;42
r;1980957;24758;58876;9;42
r;78643469;24758;265838;6;41
r;78637959;24758;396042;6;41
