r;rid;node1;node2;type;w
r;23926198;96256;239128;0;1000000
r;73950144;96256;2983124;555;41953
r;2020828;96256;241794;36;1089
r;61382;96256;52255;0;597
r;108758;96256;146632;0;590
r;1995527;96256;223173;36;481
r;99220444;96256;4367843;128;477
r;461428389;96256;17166822;128;455
r;397107418;96256;15509429;128;405
r;397107430;96256;15509432;128;405
r;397107406;96256;15509426;128;393
r;397107442;96256;15509435;128;393
r;397107398;96256;15509424;128;381
r;398884680;96256;15562060;128;377
r;80840;96256;52255;9;369
r;398884725;96256;15562062;128;365
r;413313411;96256;15847267;128;345
r;413313395;96256;15847263;128;345
r;142032103;96256;8417260;128;345
r;103786;96256;146632;10;333
r;411522477;96256;15801477;128;327
r;399484991;96256;15579384;128;321
r;108240;96256;36899;0;319
r;413436437;96256;15849636;128;299
r;287301369;96256;11212625;128;281
r;120695;96256;52255;28;264
r;2175998;96256;218648;9;263
r;1540341;96256;213823;1;236
r;431693565;96256;16339636;128;231
r;141272;96256;29208;0;224
r;1574786;96256;29208;35;220
r;119709;96256;52255;10;214
r;2170575;96256;218648;28;211
r;248789;96256;17559;9;210
r;1981048;96256;36899;51;204
r;361914;96256;162190;11;198
r;265552;96256;160908;11;198
r;575446;96256;37450;5;197
r;1981046;96256;89591;51;193
r;265553;96256;110320;11;188
r;414827946;96256;15942184;128;185
r;1981045;96256;132857;51;180
r;125538;96256;143703;0;180
r;575454;96256;12702;5;179
r;80223;96256;115931;9;179
r;575448;96256;78140;5;176
r;449501757;96256;16924000;128;173
r;13005744;96256;162466;6;170
r;8573609;96256;11002;11;168
r;8572441;96256;7468;11;168
r;575443;96256;146632;5;167
r;8571205;96256;3780;11;166
r;2212828;96256;18128;10;166
r;8670154;96256;201297;11;165
r;8669720;96256;201055;11;165
r;8669292;96256;200815;11;165
r;8668618;96256;200512;11;165
r;8665862;96256;198887;11;165
r;8576863;96256;21141;11;165
r;8576206;96256;18968;11;165
r;8576178;96256;18874;11;165
r;8777097;96256;311138;11;164
r;8777090;96256;311133;11;164
r;8667544;96256;199942;11;164
r;8665943;96256;198937;11;164
r;8663239;96256;197340;11;164
r;8663188;96256;197308;11;164
r;8662712;96256;197019;11;164
r;8662710;96256;197018;11;164
r;8662708;96256;197017;11;164
