r;rid;node1;node2;type;w
r;8827196;26062;60;106;1
r;104935639;26062;150;28;3
r;114140444;26062;526;10;9
r;60112346;26062;647;10;14
r;104941886;26062;674;28;3
r;14621787;26062;893;10;30
r;273830410;26062;937;777;10
r;76917441;26062;1054;0;21
r;76810923;26062;1054;10;28
r;14621823;26062;1906;10;28
r;14550758;26062;1915;10;32
r;414083;26062;1937;32;60
r;425245849;26062;2108;10;14
r;14621908;26062;2249;10;34
r;455149667;26062;2258;10;3
r;273830430;26062;2298;777;10
r;60112282;26062;2491;10;14
r;14621355;26062;2537;10;30
r;784803;26062;2680;0;30
r;60112332;26062;2826;10;14
r;333952530;26062;2962;0;25
r;333952536;26062;2962;3;10
r;333855728;26062;2962;35;15
r;333952532;26062;2997;0;20
r;1281596;26062;3233;0;40
r;569516;26062;3233;5;197
r;235995016;26062;3233;6;25
r;784802;26062;3343;0;32
r;85798458;26062;3343;7;30
r;15448403;26062;3674;0;30
r;439109;26062;3674;3;29
r;4433686;26062;3674;777;10
r;430340246;26062;3709;17;25
r;11333157;26062;4007;28;38
r;14621904;26062;4044;10;30
r;231722910;26062;4187;777;10
r;4433709;26062;4429;777;10
r;110098507;26062;4736;0;5
r;108949394;26062;4736;10;18
r;14621885;26062;4985;10;31
r;59891780;26062;5041;10;16
r;14621444;26062;5158;10;35
r;273830409;26062;5292;777;10
r;54629740;26062;5330;0;24
r;54618330;26062;5330;5;88
r;54629713;26062;5753;0;30
r;54618315;26062;5753;5;60
r;14621928;26062;5862;10;31
r;273830372;26062;5910;777;10
r;59891720;26062;6126;10;34
r;14621412;26062;6473;10;34
r;447218470;26062;7153;10;3
r;273830406;26062;7662;777;10
r;54629707;26062;7770;0;22
r;54618312;26062;7770;5;169
r;177021;26062;7770;21;60
r;14574444;26062;8000;10;28
r;231722653;26062;8485;777;10
r;333928486;26062;8510;0;15
r;59891798;26062;8510;10;16
r;60112340;26062;8609;10;14
r;59891716;26062;8939;10;16
r;360847784;26062;9006;10;25
r;54629726;26062;9216;0;21
r;54618322;26062;9216;5;65
r;231722908;26062;9432;777;10
r;88920610;26062;9728;0;29
r;88382794;26062;9728;10;28
r;784804;26062;9732;0;29
r;1281595;26062;9763;0;30
r;9990662;26062;9763;10;27
r;4433714;26062;9894;777;10
r;425824660;26062;10370;10;25
r;333928501;26062;10447;0;15
r;60112320;26062;10447;10;19
r;59891718;26062;10708;10;16
r;11313841;26062;10862;28;40
r;290928630;26062;10956;777;10
r;273830384;26062;11467;777;10
r;62012655;26062;11567;0;22
r;61436634;26062;11567;10;48
r;14621779;26062;11604;10;32
r;290928633;26062;11668;777;10
r;60409665;26062;12030;10;26
r;59891794;26062;12082;10;16
r;14621912;26062;12269;10;35
r;98289262;26062;12382;0;23
r;14621347;26062;12382;10;17
r;14621895;26062;12433;10;34
r;12303011;26062;12702;0;21
r;569532;26062;12702;5;232
r;76697824;26062;12702;10;32
r;14621468;26062;12911;10;26
r;60409749;26062;13680;10;34
r;2478599;26062;13744;0;64
r;85798461;26062;13744;7;29
r;269023;26062;13744;20;108
r;11007573;26062;14159;10;34
r;98289266;26062;14160;0;26
r;98289249;26062;14160;10;15
r;3175906;26062;14189;106;2
r;33772184;26062;14330;32;6
r;54312203;26062;14658;0;22
r;53736538;26062;14658;5;72
r;104938714;26062;15208;28;3
r;14621859;26062;15540;10;34
r;231722899;26062;15749;777;10
r;15310129;26062;16033;0;35
r;14687120;26062;16033;3;31
r;60409675;26062;16178;10;51
r;60409735;26062;16319;10;24
r;1602416;26062;16422;42;70
r;85924867;26062;16672;0;29
r;85637025;26062;16672;5;-31
r;15623983;26062;16929;0;30
r;14621863;26062;16929;10;29
r;425245850;26062;17493;10;14
r;9354833;26062;17778;0;58
r;569533;26062;17778;5;180
r;1635586;26062;17778;35;54
r;14621430;26062;17905;10;31
r;14621436;26062;18097;10;29
r;54629717;26062;18110;0;21
r;54618317;26062;18110;5;67
r;61067108;26062;18408;0;28
r;60409745;26062;18408;10;31
r;3204313;26062;18648;42;5
r;14621486;26062;18672;10;35
r;77795210;26062;18734;10;31
r;12303013;26062;18836;0;27
r;569527;26062;18836;5;159
r;109170542;26062;18906;10;4
r;14621396;26062;19039;10;26
r;273830399;26062;19278;777;10
r;375977769;26062;19393;28;25
r;14621422;26062;19651;10;27
r;14621883;26062;19726;10;32
r;125641180;26062;19941;10;26
r;9282156;26062;20219;0;31
r;60112300;26062;21130;10;14
r;110098504;26062;21275;0;5
r;108949388;26062;21275;10;18
r;14621777;26062;21382;10;31
r;10049624;26062;21452;10;7
r;14621420;26062;22311;10;27
r;219482369;26062;22459;10;1
r;14548063;26062;22716;10;27
r;1281591;26062;23195;0;30
r;4433696;26062;23255;777;10
r;14621871;26062;23316;10;17
r;219482499;26062;23342;10;1
r;14621388;26062;23658;10;27
r;333928491;26062;23802;0;15
r;59891812;26062;23802;10;31
r;219481241;26062;23858;10;11
r;14621974;26062;24273;10;30
r;14574756;26062;24499;10;26
r;60112272;26062;24648;10;14
r;290928626;26062;24679;777;10
r;273830407;26062;25313;777;10
r;6852365;26062;25437;0;51
r;192958;26062;25437;5;136
r;177019;26062;25437;21;60
r;14621271;26062;25656;10;7
r;273830415;26062;25667;777;10
r;9985641;26062;25837;10;32
r;285278;26062;26062;19;59
r;425309166;26062;26215;26;30
r;54629705;26062;26363;0;27
r;54243758;26062;26363;5;68
r;9986307;26062;26507;10;34
r;14621926;26062;26972;10;42
r;3172804;26062;26976;106;4
r;59891782;26062;27276;10;31
r;14621855;26062;27321;10;30
r;219481249;26062;27395;10;1
r;59891689;26062;27403;10;16
r;9978977;26062;27405;0;5
r;169973;26062;27405;9;90
r;1943114;26062;27405;28;54
r;1602421;26062;27405;42;70
r;373070557;26062;27593;26;30
r;32044689;26062;27993;0;28
r;32026514;26062;27993;10;35
r;59891708;26062;28243;10;16
r;205639927;26062;28348;10;26
r;28401188;26062;28453;32;70
r;95934511;26062;28563;10;4
r;3088749;26062;28985;0;45
r;1943115;26062;28985;28;54
r;103478325;26062;29109;10;10
r;8866848;26062;29456;42;0
r;333928483;26062;29872;0;10
r;59891758;26062;29872;10;16
r;15068990;26062;30617;26;61
r;273830383;26062;31388;777;10
r;414084;26062;31401;32;70
r;476012555;26062;31453;17;25
r;60407548;26062;32164;10;35
r;98623724;26062;32249;0;17
r;97414624;26062;32249;10;34
r;273830397;26062;32312;777;10
r;333928490;26062;32653;0;15
r;59891704;26062;32653;10;28
r;14621829;26062;33024;10;32
r;62320806;26062;33158;0;26
r;61945694;26062;33158;10;40
r;273830352;26062;33878;777;10
r;1281593;26062;34025;0;30
r;12780654;26062;34052;10;17
r;273830380;26062;34273;777;10
r;62013146;26062;34351;0;21
r;61436295;26062;34351;10;41
r;62319282;26062;34370;0;29
r;61948319;26062;34370;10;40
r;9990329;26062;34624;10;24
r;273830375;26062;34713;777;10
r;60112276;26062;35370;10;14
r;125642411;26062;35658;10;31
r;114142822;26062;35909;10;6
r;99351389;26062;36047;0;4
r;98753097;26062;36047;10;28
r;417993639;26062;36071;3;25
r;195281591;26062;36470;10;27
r;59891736;26062;36571;10;16
r;1602419;26062;36686;42;70
r;231722896;26062;37050;777;10
r;366727345;26062;37229;30;25
r;28343330;26062;37298;32;62
r;14621464;26062;37384;10;29
r;10011523;26062;37396;10;19
r;1602417;26062;37408;42;70
r;98628540;26062;37473;0;18
r;97752475;26062;37473;10;35
r;30513723;26062;37889;10;36
r;116307;26062;37993;0;115
r;130359;26062;37993;9;109
r;144037;26062;37993;21;70
r;60112286;26062;38306;10;14
r;31334092;26062;38344;0;37
r;31297487;26062;38344;3;35
r;192631793;26062;38450;10;30
r;14621351;26062;38523;10;34
r;109170540;26062;38623;10;4
r;4433728;26062;38768;777;10
r;59891772;26062;39340;10;16
r;449503965;26062;39665;10;17
r;60525576;26062;39729;0;28
r;59891738;26062;39729;10;15
