r;rid;node1;node2;type;w
r;29792111;29592;416834;0;-5
r;29792112;29592;15235;0;-5
r;29792113;29592;105008;0;-5
r;29792114;29592;37993;0;-5
r;93105423;29592;188069;0;1
r;93160306;29592;3671949;0;1
r;93160460;29592;3654425;0;1
r;94106181;29592;2958570;0;1
r;94107106;29592;2672550;0;1
r;94107221;29592;2424154;0;1
r;94110074;29592;2457033;0;1
r;94110563;29592;419292;0;1
r;94110579;29592;397550;0;1
r;94110597;29592;429970;0;1
r;94110605;29592;405587;0;1
r;94110614;29592;573964;0;1
r;94110620;29592;66861;0;1
r;94110624;29592;138580;0;1
r;94110635;29592;404980;0;1
r;96433886;29592;2315557;0;1
r;98800275;29592;431330;0;1
r;98919287;29592;4334639;0;1
r;101814879;29592;173246;0;1
r;101815013;29592;2455948;0;1
r;101815608;29592;271055;0;1
r;108129010;29592;3161512;0;1
r;108129112;29592;3385295;0;1
r;109044837;29592;224759;0;1
r;110210096;29592;5567006;0;1
r;110291571;29592;5574062;0;1
r;111295123;29592;5668213;0;1
r;114878732;29592;3311252;0;1
r;114878757;29592;5678920;0;1
r;114878762;29592;5678441;0;1
r;114878764;29592;5678436;0;1
r;114878769;29592;5678250;0;1
r;114878777;29592;5678107;0;1
r;114878785;29592;5678072;0;1
r;114878787;29592;5678046;0;1
r;114878790;29592;5678025;0;1
r;114878794;29592;5677998;0;1
r;114878800;29592;5677981;0;1
r;114878805;29592;5677833;0;1
r;114878809;29592;5677795;0;1
r;114878815;29592;5677747;0;1
r;114878827;29592;5676795;0;1
r;114878832;29592;5675471;0;1
r;114878835;29592;5675465;0;1
r;114878840;29592;5675456;0;1
r;114878843;29592;5675439;0;1
r;114878849;29592;5675437;0;1
r;114878920;29592;5599003;0;1
r;114878996;29592;5564469;0;1
r;114879004;29592;5564420;0;1
r;114879006;29592;5564411;0;1
r;114879010;29592;5564383;0;1
r;114879029;29592;5559074;0;1
r;114879033;29592;5557713;0;1
r;114879038;29592;5557702;0;1
r;114879042;29592;5557625;0;1
r;114879045;29592;5557622;0;1
r;114879053;29592;5557602;0;1
r;114879058;29592;5557569;0;1
r;114879064;29592;5557561;0;1
r;114879067;29592;5557544;0;1
r;114879075;29592;5557528;0;1
r;114879081;29592;5557516;0;1
r;114879083;29592;5557506;0;1
r;114879089;29592;5557499;0;1
r;114879091;29592;5557377;0;1
r;114879093;29592;5557375;0;1
r;114879096;29592;5557359;0;1
r;114879101;29592;5557352;0;1
r;114879106;29592;5557341;0;1
r;114879110;29592;5557333;0;1
r;114879115;29592;5557320;0;1
r;114879125;29592;5557289;0;1
r;114879131;29592;5557287;0;1
r;114879137;29592;5557285;0;1
r;114879140;29592;5557284;0;1
r;114879144;29592;5557276;0;1
r;114879149;29592;5557266;0;1
r;114879154;29592;5557257;0;1
r;114879157;29592;5557253;0;1
r;114879163;29592;5557251;0;1
r;114879166;29592;5557221;0;1
r;114879170;29592;5557217;0;1
r;114879172;29592;5557207;0;1
r;114879180;29592;5557189;0;1
r;114879185;29592;5557187;0;1
r;114879188;29592;5557152;0;1
r;114879192;29592;5557149;0;1
r;114879195;29592;5557139;0;1
r;114879199;29592;5557121;0;1
r;114879213;29592;5557479;0;1
r;114879218;29592;5557385;0;1
r;114879221;29592;5557476;0;1
r;114879227;29592;5557439;0;1
r;114879231;29592;5536779;0;1
r;114879237;29592;5536774;0;1
r;114879242;29592;5536687;0;1
r;114879248;29592;5536530;0;1
r;114879262;29592;5518452;0;1
r;114879264;29592;5557396;0;1
r;114879268;29592;5557412;0;1
r;114879274;29592;5557431;0;1
r;114879281;29592;5557450;0;1
r;114879284;29592;5526244;0;1
r;218191218;29592;6002469;0;1
r;218191239;29592;271869;0;1
r;218191444;29592;284786;0;1
r;218191481;29592;5962414;0;1
r;218191523;29592;5962263;0;1
