r;rid;node1;node2;type;w
r;9997740;116032;77424;0;-14
r;10014205;116032;19356;0;-4
r;10014213;116032;95422;0;-4
r;4982917;116032;261246;0;0
r;97386056;116032;114898;0;3
r;9998315;116032;72499;0;4
r;9998134;116032;230297;0;4
r;9988952;116032;109638;0;4
r;9997850;116032;107477;0;4
r;9997841;116032;16110;0;4
r;9997495;116032;138092;0;4
r;9997588;116032;125745;0;4
r;10007876;116032;218465;0;4
r;10007878;116032;228289;0;4
r;10007892;116032;12566;0;4
r;10007912;116032;241862;0;4
r;10007918;116032;58876;0;4
r;10007930;116032;165400;0;4
r;10007932;116032;103791;0;4
r;10007936;116032;64313;0;4
r;10007938;116032;135652;0;4
r;10007942;116032;164433;0;4
r;10008074;116032;13115;0;4
r;10008076;116032;114420;0;4
r;10008082;116032;225770;0;4
r;10008092;116032;215534;0;4
r;10014209;116032;63026;0;4
r;10014211;116032;64354;0;4
r;10014215;116032;141949;0;4
r;391416476;116032;14940408;0;4
r;5007581;116032;52413;0;5
r;31647220;116032;267387;0;6
r;31837285;116032;285101;0;6
r;288647285;116032;11220545;0;6
r;9997738;116032;71864;0;7
r;10007882;116032;225786;0;7
r;10007924;116032;214340;0;7
r;30965954;116032;1916038;0;7
r;30965966;116032;1916037;0;7
r;30966009;116032;175320;0;7
r;31837516;116032;286791;0;9
r;53084805;116032;2553103;0;9
r;10535424;116032;90832;0;10
r;30966021;116032;411824;0;10
r;33925106;116032;383747;0;10
r;33925507;116032;383749;0;10
r;33925508;116032;383748;0;10
r;10535420;116032;5814;0;11
r;10535422;116032;120157;0;11
r;10535429;116032;146632;0;11
r;10535431;116032;36886;0;11
r;10535894;116032;157132;0;11
r;10562876;116032;83208;0;12
r;9621790;116032;71624;0;13
r;9904722;116032;125767;0;13
r;9904724;116032;218193;0;13
r;417745504;116032;3491;0;13
r;417745505;116032;113160;0;13
r;417841361;116032;54771;0;13
r;9997680;116032;149413;0;14
r;9997499;116032;242310;0;14
r;9997736;116032;60902;0;14
r;9997507;116032;237765;0;14
r;9998317;116032;139578;0;14
r;9997749;116032;126285;0;14
r;9997515;116032;77008;0;14
r;9998324;116032;225127;0;14
r;9997734;116032;45738;0;14
r;9998330;116032;215758;0;14
r;9997742;116032;109785;0;14
r;9997607;116032;77938;0;14
r;9997511;116032;135591;0;14
r;9998322;116032;222595;0;14
r;9997519;116032;56280;0;14
r;9998328;116032;233450;0;14
r;9997689;116032;52119;0;14
r;9997497;116032;97634;0;14
r;9997671;116032;74846;0;14
r;10007880;116032;240720;0;14
r;10007884;116032;72657;0;14
r;10007890;116032;2680;0;14
r;10007898;116032;221019;0;14
r;10007900;116032;243696;0;14
r;10007908;116032;133921;0;14
r;10007910;116032;187622;0;14
r;10007914;116032;241352;0;14
r;10007920;116032;32735;0;14
r;10007926;116032;213792;0;14
r;10007928;116032;187620;0;14
r;10007934;116032;101938;0;14
r;10007946;116032;74558;0;14
r;10007948;116032;86561;0;14
r;10008072;116032;233138;0;14
r;10008084;116032;96211;0;14
r;10008088;116032;126388;0;14
r;10008090;116032;45635;0;14
r;10014201;116032;141814;0;14
r;10014207;116032;39031;0;14
r;10014298;116032;219363;0;14
r;25097382;116032;130161;0;14
r;30248096;116032;1860906;0;15
r;96698246;116032;71178;0;15
r;97342010;116032;16718;0;15
r;307603575;116032;93245;0;15
r;472414604;116032;1687054;0;15
r;472414605;116032;1687053;0;15
r;10535439;116032;143607;0;16
r;23397797;116032;246329;0;16
r;23866080;116032;436315;0;16
r;96698252;116032;104695;0;16
r;96698253;116032;130882;0;16
r;96698257;116032;7225;0;16
r;262553066;116032;162005;0;16
r;9998326;116032;228513;0;17
r;10492902;116032;103311;0;17
r;11010864;116032;65257;0;17
r;8520639;116032;57452;0;18
r;96698256;116032;31026;0;18
r;263879614;116032;236473;0;18
r;293179147;116032;264598;0;18
r;9998311;116032;213644;0;19
r;9997505;116032;8990;0;19
r;9997521;116032;151867;0;19
r;9998313;116032;12684;0;19
r;9998320;116032;216283;0;19
r;9997669;116032;77727;0;19
r;9997747;116032;144846;0;19
r;10007872;116032;214988;0;19
r;10007874;116032;121057;0;19
r;10007886;116032;47319;0;19
r;10007888;116032;83944;0;19
r;10007894;116032;139779;0;19
r;10007896;116032;116980;0;19
r;10007904;116032;261225;0;19
r;10007906;116032;22889;0;19
r;10007916;116032;236940;0;19
r;10007922;116032;108463;0;19
r;10007944;116032;225756;0;19
r;10008080;116032;71026;0;19
r;10008094;116032;90273;0;19
r;10008086;116032;58404;0;21
r;15473457;116032;106252;0;21
r;96698251;116032;108062;0;21
r;96698259;116032;265226;0;21
r;96698261;116032;265633;0;21
r;96698262;116032;156371;0;21
r;96698263;116032;142832;0;21
r;96698266;116032;316850;0;21
r;96698267;116032;58768;0;21
r;96698268;116032;103416;0;21
r;123491223;116032;6737046;0;21
r;262367854;116032;32375;0;21
r;13134644;116032;390927;0;22
r;9997513;116032;118539;0;23
r;10007940;116032;147161;0;23
r;54711162;116032;104093;0;23
r;96698265;116032;396688;0;23
r;310213763;116032;4303785;0;23
r;310814872;116032;452536;0;23
r;10014203;116032;152844;0;24
r;11302570;116032;326146;0;24
r;14475128;116032;172737;0;24
r;14488543;116032;273828;0;24
r;54711160;116032;134647;0;24
r;310814873;116032;452537;0;24
r;301129380;116032;309048;0;25
r;301129382;116032;6825834;0;25
r;301129384;116032;9160331;0;25
r;348509983;116032;12771253;0;25
r;349065100;116032;13783929;0;25
r;474634068;116032;17412738;0;25
r;474634025;116032;62985;0;25
r;415721767;116032;15328662;0;25
r;415721769;116032;15195032;0;25
r;416058330;116032;14938080;0;25
r;417745503;116032;118203;0;25
r;423810490;116032;15068653;0;25
r;434746490;116032;37229;0;25
r;434746509;116032;16533895;0;25
r;434746523;116032;80350;0;25
r;434746550;116032;16533898;0;25
r;2495625;116032;49319;0;26
r;2495627;116032;112511;0;26
r;2495630;116032;102778;0;26
r;3200465;116032;153853;0;26
r;9621747;116032;13369;0;26
r;10007902;116032;225934;0;26
r;11011048;116032;103057;0;26
r;15455772;116032;152125;0;26
r;97342012;116032;92662;0;26
r;120305599;116032;6382951;0;26
r;352157086;116032;3378470;0;26
r;120305561;116032;6389797;0;27
r;1559962;116032;215135;0;28
