r;rid;node1;node2;type;w
r;98824822;71926;19356;0;-30
r;97344942;71926;140715;0;-29
r;97344943;71926;142086;0;-27
r;97344947;71926;26363;0;-26
r;97344941;71926;107477;0;-23
r;97344940;71926;34898;0;-22
r;97344944;71926;95422;0;-22
r;24653578;71926;145792;0;1
r;50749392;71926;301190;0;1
r;248302885;71926;8749029;0;1
r;312050204;71926;20001;0;1
r;312052972;71926;144692;0;1
r;421303684;71926;10963525;0;1
r;421303685;71926;6016256;0;1
r;421303686;71926;131577;0;1
r;421303687;71926;8809507;0;1
r;421303688;71926;417848;0;1
r;421303689;71926;83035;0;1
r;421303690;71926;5722635;0;1
r;421303691;71926;2951505;0;1
r;421303692;71926;410980;0;1
r;421303693;71926;16090442;0;1
r;421303694;71926;141068;0;1
r;421303695;71926;422102;0;1
r;421303696;71926;24743;0;1
r;421303697;71926;3327596;0;1
r;421303698;71926;5841087;0;1
r;421303699;71926;5895299;0;1
r;421303700;71926;36294;0;1
r;421303701;71926;137519;0;1
r;421303702;71926;63235;0;1
r;421303703;71926;1890176;0;1
r;421303704;71926;1838749;0;1
r;421303705;71926;12278978;0;1
r;421303706;71926;1364299;0;1
r;421303707;71926;5812352;0;1
r;421303708;71926;10672629;0;1
r;421303709;71926;120653;0;1
r;421303710;71926;2576943;0;1
r;421303711;71926;419623;0;1
r;421303712;71926;1997;0;1
r;421303713;71926;10788431;0;1
r;421303715;71926;114202;0;1
r;421303716;71926;403333;0;1
r;421303717;71926;59379;0;1
r;421303718;71926;3176443;0;1
r;421303719;71926;416605;0;1
r;421303720;71926;15818032;0;1
r;421303721;71926;1745;0;1
r;421303722;71926;34030;0;1
r;421303724;71926;408582;0;1
r;421303725;71926;18229;0;1
r;421303727;71926;132722;0;1
r;421303729;71926;419466;0;1
r;421303730;71926;139083;0;1
r;421303732;71926;9367;0;1
r;421303733;71926;272716;0;1
r;421303735;71926;130917;0;1
r;421303736;71926;142346;0;1
r;421303738;71926;430165;0;1
r;421303739;71926;413895;0;1
r;421303741;71926;4275533;0;1
r;421303743;71926;418938;0;1
r;421303745;71926;3552698;0;1
r;421303746;71926;5896460;0;1
r;421303749;71926;406522;0;1
r;421303751;71926;20413;0;1
r;421303753;71926;3294349;0;1
r;421303754;71926;2961229;0;1
r;421303756;71926;10327242;0;1
r;421303757;71926;431663;0;1
r;421303759;71926;409710;0;1
r;421303760;71926;5833150;0;1
r;421303762;71926;10589471;0;1
r;421303763;71926;130731;0;1
r;421303765;71926;415966;0;1
r;421303767;71926;34052;0;1
r;421303769;71926;8902700;0;1
r;421303771;71926;132105;0;1
r;421303772;71926;2932583;0;1
r;421303774;71926;105395;0;1
r;421303776;71926;71115;0;1
r;421303778;71926;146062;0;1
r;421303780;71926;23917;0;1
r;421303781;71926;96935;0;1
r;421303783;71926;69805;0;1
r;421303784;71926;129143;0;1
