r;rid;node1;node2;type;w
r;13603840;98919;142235;6;-178
r;9903133;98919;81027;6;-173
r;28333871;98919;102345;32;-82
r;12993649;98919;134725;32;-61
r;520892;98919;17559;3;-35
r;468147;98919;63235;3;-28
r;83360422;98919;396146;6;-28
r;2507209;98919;62726;9;-25
r;3167453;98919;225786;9;-25
r;3167461;98919;165400;9;-25
r;3167468;98919;106252;9;-25
r;15941596;98919;157284;6;-25
r;211393072;98919;2049307;72;-25
r;15648024;98919;152125;3;-19
r;3167118;98919;146105;15;-10
r;3167038;98919;9664;15;-5
r;3167059;98919;240367;15;-5
r;3167099;98919;26363;9;-5
r;3167102;98919;64239;15;-5
r;3167111;98919;21457;6;-5
r;3167112;98919;35676;15;-5
r;3167117;98919;42313;15;-5
r;3167162;98919;143206;17;-5
r;3167184;98919;137391;15;-5
r;365359761;98919;112905;30;-5
r;8904494;98919;124094;28;-2
r;8910556;98919;120842;15;-2
r;2126149;98919;39816;6;-1
r;2269914;98919;220343;6;-1
r;3167065;98919;4920;15;-1
r;1674251;98919;13001;666;1
r;1674252;98919;26801;666;1
r;1674253;98919;63235;666;1
r;1674254;98919;95706;666;1
r;1674257;98919;141796;666;1
r;1674258;98919;26486;666;1
r;1674260;98919;113247;666;1
r;1674261;98919;128439;666;1
r;1674262;98919;223629;666;1
r;1799375;98919;173247;666;1
r;3167011;98919;8542;106;1
r;3178281;98919;184750;106;1
r;3178285;98919;76566;106;1
r;34209333;98919;234035;999;1
r;94247747;98919;3856034;444;1
r;94269042;98919;3879975;444;1
r;123140051;98919;6737046;6;1
r;145792395;98919;6825673;9;1
r;215795372;98919;6798394;9;1
r;216782495;98919;9627704;128;1
r;275963583;98919;230988;0;1
r;284893919;98919;2579892;999;1
r;284894826;98919;238553;999;1
r;284895530;98919;238554;999;1
r;284896250;98919;238550;999;1
r;284897035;98919;238552;999;1
r;352215217;98919;9023410;9;1
r;476914758;98919;17460615;140;1
r;413771086;98919;15873443;128;1
r;1674249;98919;48855;666;2
r;1674250;98919;82231;666;2
r;1674255;98919;116032;666;2
r;1674256;98919;114090;666;2
r;3175988;98919;145382;106;2
r;3178280;98919;26976;106;2
r;3178282;98919;55171;106;2
r;8904989;98919;224885;17;2
r;15965571;98919;444457;140;2
r;15965575;98919;444458;140;2
r;15965579;98919;444459;140;2
r;15965583;98919;444460;140;2
r;29648947;98919;225846;999;2
