r;rid;node1;node2;type;w
r;20145508;4658;60;106;1
r;10009294;4658;164;10;17
r;2142680;4658;231;41;59
r;373352611;4658;237;0;23
r;372573393;4658;237;6;51
r;9975078;4658;602;9;10
r;3866743;4658;602;777;9
r;82077317;4658;1384;17;-34
r;180550;4658;1726;22;500
r;376186450;4658;1726;25;25
r;1681801;4658;1737;0;56
r;181174;4658;1737;22;380
r;319666462;4658;1870;0;27
r;3866847;4658;2077;777;9
r;15600647;4658;2199;0;26
r;14509714;4658;2199;10;32
r;83030020;4658;2212;0;22
r;82816842;4658;2212;10;28
r;1790601;4658;2212;666;1
r;15600646;4658;2222;0;31
r;14509712;4658;2222;10;26
r;10121493;4658;2438;10;9
r;82078597;4658;2442;24;30
r;10121477;4658;2445;10;9
r;12293942;4658;2486;0;26
r;582403;4658;2486;5;79
r;3866744;4658;2609;777;9
r;10121581;4658;2860;10;12
r;98624634;4658;3225;0;18
r;97756982;4658;3225;10;29
r;8799669;4658;3723;10;5
r;417747056;4658;3973;0;13
r;15600645;4658;3990;0;36
r;14509700;4658;3990;10;30
r;3866870;4658;4245;777;9
r;317473;4658;4658;19;57
r;109168665;4658;4707;10;4
r;477581130;4658;5092;17;25
r;97053975;4658;5195;0;13
r;97053988;4658;5195;10;15
r;1792354;4658;5425;0;102
r;53742266;4658;5425;5;139
r;142223;4658;5425;6;193
r;214420;4658;5425;10;90
r;376998275;4658;5425;21;25
r;9251155;4658;5425;35;101
r;1770723;4658;5425;666;2
r;14825253;4658;5435;24;30
r;4725807;4658;5865;777;9
r;15074634;4658;6096;26;30
r;319666430;4658;6191;0;29
r;116625299;4658;6229;10;30
r;10008567;4658;6243;10;4
r;9633329;4658;6605;0;28
r;600574;4658;6605;6;51
r;83029118;4658;6755;0;23
r;82817154;4658;6755;10;27
r;210638599;4658;6766;10;26
r;83208;4658;6890;0;423
r;99207;4658;6890;10;474
r;234545;4658;6890;15;98
r;227563;4658;6890;35;140
r;1793247;4658;6890;41;-50
r;2070461;4658;6890;42;60
r;1770724;4658;6890;666;3
r;3866788;4658;7104;777;9
r;15600644;4658;7158;0;32
r;14509698;4658;7158;10;28
r;83029112;4658;7390;0;27
r;82817142;4658;7390;10;30
r;12858902;4658;7447;0;14
r;11025799;4658;7447;10;17
r;1322670;4658;7596;0;194
r;582402;4658;7596;5;75
r;232218;4658;7596;35;190
r;12293938;4658;7808;0;24
r;582408;4658;7808;5;75
r;12861353;4658;8255;0;19
r;11020861;4658;8255;10;17
r;97144033;4658;8319;0;32
r;10121491;4658;8502;10;9
r;9038590;4658;8531;22;61
r;29334347;4658;8994;0;23
r;29299112;4658;8994;10;37
r;9976775;4658;9492;10;9
r;4725710;4658;9537;777;9
r;319666485;4658;9678;0;26
r;3866796;4658;9687;777;9
r;9996686;4658;9746;0;4
r;2070342;4658;9746;9;35
r;3866842;4658;9746;777;9
r;9762495;4658;9780;0;62
r;54702576;4658;9780;5;79
r;2377444;4658;9780;6;107
r;214421;4658;9780;10;71
r;1790604;4658;9780;666;1
r;98626497;4658;9781;0;18
r;97750091;4658;9781;10;28
r;30516511;4658;9814;0;40
r;30485518;4658;9814;10;37
r;3866770;4658;9837;777;9
r;319666394;4658;9839;0;26
r;366290544;4658;9990;26;66
r;97054020;4658;10161;0;18
r;9975985;4658;10161;10;16
r;29327742;4658;10879;0;23
r;9981856;4658;10879;10;31
r;3866785;4658;11461;777;9
r;12858086;4658;11490;0;4
r;11027393;4658;11490;10;17
r;425523830;4658;11499;10;25
r;149281707;4658;11501;9;26
r;319666432;4658;11531;0;28
r;934636;4658;11724;0;26
r;10121545;4658;11831;10;9
r;15670877;4658;11866;0;35
r;10013574;4658;11866;10;29
r;12911870;4658;12104;0;19
r;10482919;4658;12104;10;16
r;319666478;4658;12134;0;29
r;10534473;4658;12298;0;10
r;2413198;4658;12298;10;28
r;384022;4658;12298;22;105
r;3866817;4658;12596;777;9
r;98626907;4658;12627;0;18
r;97749238;4658;12627;10;28
r;3866818;4658;12918;777;9
r;98636196;4658;13186;0;18
r;97751673;4658;13186;10;31
r;1790596;4658;13264;666;1
r;3866709;4658;13264;777;9
r;418447959;4658;13701;0;25
r;396620499;4658;13701;3;25
r;59515506;4658;13795;0;24
r;54733811;4658;13795;5;107
r;14800574;4658;13843;17;33
