r;rid;node1;node2;type;w
r;23925157;127000;239128;0;1000000
r;73958084;127000;2983124;555;10389
r;1993600;127000;241794;36;761
r;178931;127000;127270;0;741
r;178701;127000;73827;0;711
r;96709007;127000;152356;106;623
r;1996240;127000;223172;36;562
r;179893;127000;148105;0;523
r;182256;127000;43853;0;523
r;177998;127000;71926;0;460
r;179130;127000;14864;0;400
r;2219479;127000;114428;6;282
r;180889;127000;83403;0;271
r;184104;127000;87025;0;246
r;185105;127000;77008;0;233
r;8866137;127000;251937;6;230
r;495851;127000;71926;6;229
r;2219480;127000;154002;6;227
r;3192197;127000;251764;6;222
r;11362026;127000;67440;6;218
r;11665001;127000;329636;6;217
r;11665507;127000;329635;6;213
r;2219491;127000;114428;0;212
r;13604077;127000;175721;6;212
r;1909832;127000;148105;9;212
r;2008374;127000;223173;36;212
r;180478;127000;59582;0;210
r;8866136;127000;87025;6;209
r;2989969;127000;106270;6;208
r;1909830;127000;8990;9;208
r;2109332;127000;43853;9;208
r;11666676;127000;329634;6;205
r;11667367;127000;326289;6;203
r;11667849;127000;318464;6;200
r;2109333;127000;74846;9;200
r;11668351;127000;19646;6;191
r;2109334;127000;77424;9;190
r;11253197;127000;134253;6;189
r;11668795;127000;264880;6;188
r;12077589;127000;123836;6;188
r;11669249;127000;264908;6;182
r;182293;127000;13284;0;171
r;189193;127000;96649;0;170
r;2109331;127000;145185;9;170
r;8570350;127000;1188;11;169
r;8571261;127000;3907;11;168
r;2940316;127000;77587;6;166
r;8574015;127000;12133;11;165
r;8575155;127000;15569;11;165
r;8575991;127000;18323;11;165
r;8666834;127000;199547;11;165
r;8778697;127000;312432;11;164
r;8580882;127000;32954;11;163
r;8596401;127000;78074;11;163
r;8596652;127000;78733;11;163
r;8603682;127000;98612;11;163
r;8620862;127000;143069;11;163
r;8624953;127000;156208;11;163
r;8635208;127000;175770;11;163
r;8638151;127000;181310;11;163
r;8638477;127000;181513;11;163
r;8641578;127000;183308;11;163
r;8646081;127000;186112;11;163
r;8646105;127000;186125;11;163
r;8677995;127000;206143;11;163
r;8678683;127000;206584;11;163
r;8738627;127000;271099;11;163
r;8738629;127000;271101;11;163
r;8738651;127000;271115;11;163
r;8764208;127000;297224;11;163
r;8764210;127000;297225;11;163
r;8591723;127000;64185;11;162
r;8627318;127000;161195;11;162
r;8629219;127000;164748;11;162
r;8629904;127000;166046;11;162
r;8639221;127000;181930;11;162
r;8689166;127000;214196;11;162
r;8697016;127000;227707;11;161
r;8697017;127000;227708;11;161
r;8697019;127000;227709;11;161
r;8697033;127000;227736;11;161
r;8697035;127000;227737;11;161
r;8697037;127000;227738;11;161
r;8697039;127000;227739;11;161
r;8697413;127000;228268;11;161
r;8704818;127000;237496;11;161
r;8705571;127000;238685;11;161
r;8707676;127000;242506;11;161
r;8714461;127000;250966;11;161
r;8714463;127000;250967;11;161
r;8721108;127000;256366;11;161
r;8725857;127000;259622;11;161
r;8728067;127000;261386;11;161
r;9908057;127000;99238;6;154
r;8870900;127000;315848;11;154
r;8877300;127000;193058;11;154
r;8877302;127000;193059;11;154
r;8877304;127000;193060;11;154
r;8877306;127000;193061;11;154
r;8883533;127000;282256;11;153
r;9914203;127000;161049;6;152
r;8879949;127000;222218;11;151
r;8880136;127000;227710;11;151
r;1909831;127000;151867;9;149
r;9028322;127000;319333;11;148
r;10740138;127000;325424;11;148
r;2232366;127000;233133;6;145
r;2162507;127000;161195;0;142
r;2230643;127000;17559;6;142
r;9616086;127000;55823;6;142
r;11123843;127000;325741;6;139
r;1545772;127000;82778;5;137
r;569258;127000;87025;5;136
r;2219495;127000;225934;9;133
r;2140907;127000;222883;9;125
r;53896776;127000;129506;5;124
r;14418924;127000;329657;6;124
r;11850662;127000;258467;11;122
r;11850993;127000;251019;11;122
r;11854780;127000;174400;11;122
r;11856530;127000;159696;11;122
r;11856945;127000;151145;11;122
r;11858371;127000;136441;11;122
r;11860607;127000;120767;11;122
r;11870440;127000;53653;11;121
r;11876716;127000;10245;11;121
r;195089;127000;145624;0;120
r;11133314;127000;325738;6;120
r;11140017;127000;325736;6;116
r;191369;127000;17559;0;114
r;245748;127000;8990;0;113
r;11146635;127000;325731;6;113
r;53896781;127000;103730;5;112
r;53896786;127000;120767;5;111
r;2269787;127000;144846;9;111
r;114424856;127000;5877994;128;111
r;194332;127000;89703;0;110
r;194488;127000;67875;0;110
r;12641423;127000;365204;11;110
r;12641377;127000;365215;11;109
r;12641401;127000;365209;11;109
r;12641415;127000;365206;11;109
r;12641427;127000;365203;11;109
r;12767515;127000;334541;11;109
r;12641385;127000;365213;11;108
r;12641389;127000;365212;11;108
r;187768;127000;123408;0;107
r;2179780;127000;227708;0;107
r;12641397;127000;365210;11;107
r;12641449;127000;365197;11;107
r;12641419;127000;365205;11;106
r;12675301;127000;356912;11;106
r;12641381;127000;365214;11;105
r;12745699;127000;339919;11;105
r;53896782;127000;114428;5;104
r;12641393;127000;365211;11;104
r;12641437;127000;365200;11;104
r;12641441;127000;365199;11;104
r;12641445;127000;365198;11;104
r;12658733;127000;361010;11;104
r;10931797;127000;54794;6;103
r;12641431;127000;365202;11;103
r;11153256;127000;325728;6;102
r;185312;127000;94326;0;101
r;12641403;127000;365208;11;101
r;12641411;127000;365207;11;101
r;12641435;127000;365201;11;101
r;12709921;127000;348344;11;101
r;425328408;127000;16167670;66;100
r;2219492;127000;50698;5;98
r;53896779;127000;42301;5;97
r;2219493;127000;77008;9;97
r;186697;127000;151867;0;93
r;53896783;127000;99501;5;93
r;33153483;127000;103405;32;92
r;53896780;127000;93016;5;91
r;180479;127000;76583;0;90
r;185900;127000;151282;0;90
r;188637;127000;22976;0;90
r;189758;127000;142663;0;90
r;190415;127000;155519;0;90
r;192064;127000;133034;0;90
r;1545767;127000;71926;35;90
r;53896778;127000;104942;5;89
r;53896789;127000;60098;5;89
