r;rid;node1;node2;type;w
r;350574922;140176;3343182;0;-67
r;96542226;140176;26363;0;-32
r;96539330;140176;34898;0;-30
r;96539366;140176;142086;0;-27
r;96539346;140176;107477;0;-26
r;350574999;140176;438280;0;-25
r;350575124;140176;3343180;0;-25
r;350574972;140176;1770673;0;-25
r;9976837;140176;77424;0;-24
r;96539356;140176;140715;0;-23
r;9976598;140176;74846;0;-22
r;15937061;140176;16747;0;-21
r;15918033;140176;114327;0;-21
r;98750783;140176;19356;0;-21
r;10372879;140176;139779;0;-18
r;10050465;140176;225934;0;-17
r;11018930;140176;116980;0;-17
r;9976595;140176;144846;0;-14
r;10050475;140176;95422;0;-14
r;30485070;140176;1890278;0;1
r;62132934;140176;2527054;0;1
r;62132937;140176;2533330;0;1
r;62132940;140176;2533504;0;1
r;62132953;140176;2534547;0;1
r;62132964;140176;2536078;0;1
r;62132974;140176;2536695;0;1
r;62132983;140176;2536811;0;1
r;62132995;140176;2537014;0;1
r;62132998;140176;2537199;0;1
r;62133001;140176;2537382;0;1
r;62133004;140176;2538395;0;1
r;62133007;140176;2538504;0;1
r;62133010;140176;2539747;0;1
r;62133013;140176;2539946;0;1
r;62133016;140176;2540271;0;1
r;62133019;140176;2541125;0;1
r;62133022;140176;2546326;0;1
r;62133025;140176;2547763;0;1
r;62133028;140176;2549962;0;1
r;62133031;140176;2555272;0;1
r;62133034;140176;2555689;0;1
r;62133038;140176;2555975;0;1
r;62133045;140176;2560743;0;1
r;62133049;140176;2562251;0;1
r;62133052;140176;2562680;0;1
r;62133055;140176;2562923;0;1
r;62133058;140176;2565978;0;1
r;62133061;140176;2566686;0;1
r;62133064;140176;2567064;0;1
r;62133220;140176;2568252;0;1
r;62133230;140176;2568284;0;1
r;62133239;140176;2568504;0;1
r;62133251;140176;2568555;0;1
r;62133255;140176;2569109;0;1
r;62133258;140176;2571357;0;1
r;62134846;140176;376894;0;1
r;62134849;140176;2364040;0;1
r;94133578;140176;293096;0;1
r;94133637;140176;289936;0;1
r;94133648;140176;105768;0;1
r;94133663;140176;2551342;0;1
r;94133672;140176;281784;0;1
r;94133674;140176;2567616;0;1
r;94133678;140176;2549514;0;1
r;94133681;140176;309569;0;1
r;94133684;140176;2500587;0;1
r;94133733;140176;3686281;0;1
r;94133736;140176;3684997;0;1
r;94133742;140176;3685077;0;1
r;94133744;140176;3566759;0;1
r;94133751;140176;3473046;0;1
r;94133754;140176;3393933;0;1
r;94133756;140176;3394170;0;1
r;94133759;140176;3392511;0;1
r;94133768;140176;3298074;0;1
r;94133771;140176;2952363;0;1
r;94133773;140176;282026;0;1
r;94133775;140176;279516;0;1
r;94133777;140176;282256;0;1
r;94133779;140176;3176995;0;1
r;94133781;140176;307362;0;1
r;94133784;140176;282636;0;1
r;94133786;140176;2936971;0;1
r;94133790;140176;306763;0;1
r;94133793;140176;289755;0;1
r;94133795;140176;307384;0;1
r;94133798;140176;308664;0;1
r;95891410;140176;2366613;0;1
r;95891397;140176;2458399;0;1
r;95653972;140176;4102483;0;1
r;98422822;140176;2583591;0;1
r;110296141;140176;437730;0;1
r;312123807;140176;138958;0;1
r;54515665;140176;2410287;0;2
r;98422819;140176;2686353;0;2
r;98422820;140176;2696884;0;2
r;103099366;140176;4904056;0;2
r;29289927;140176;152629;0;3
r;31553260;140176;1935233;0;3
r;33885147;140176;367252;0;3
r;33885176;140176;367253;0;3
r;33885235;140176;367264;0;3
r;33885264;140176;367255;0;3
r;33885269;140176;367254;0;3
r;33885281;140176;367242;0;3
r;33885286;140176;367265;0;3
r;33885288;140176;367250;0;3
r;33885344;140176;367244;0;3
r;33885346;140176;367262;0;3
r;33885501;140176;367260;0;3
r;33885504;140176;367263;0;3
r;33885521;140176;367259;0;3
r;33885549;140176;367246;0;3
r;33885552;140176;367258;0;3
r;33885748;140176;367251;0;3
r;86890092;140176;12880;0;3
r;94166178;140176;148389;0;3
r;94166167;140176;3661995;0;3
r;9976596;140176;77008;0;4
r;9997602;140176;212574;0;4
r;9997600;140176;85378;0;4
r;10015612;140176;233138;0;4
r;10050477;140176;101938;0;4
r;10050479;140176;52119;0;4
r;29289929;140176;325657;0;4
r;30522820;140176;21583;0;4
r;33885245;140176;367243;0;4
r;34769406;140176;1782924;0;4
r;391421671;140176;14940408;0;4
r;30864619;140176;234294;0;5
r;30864884;140176;322753;0;5
r;30867352;140176;221719;0;5
r;30867459;140176;222152;0;5
r;30867506;140176;222932;0;5
r;30867524;140176;223456;0;5
r;30867600;140176;224043;0;5
r;30867685;140176;225213;0;5
r;30868013;140176;228420;0;5
r;30868275;140176;232309;0;5
r;30868503;140176;234206;0;5
r;30868946;140176;238670;0;5
r;30869260;140176;240629;0;5
r;30869450;140176;242019;0;5
r;30869734;140176;244733;0;5
r;30870181;140176;249656;0;5
r;30870254;140176;251658;0;5
r;30870350;140176;252497;0;5
r;30870837;140176;265126;0;5
r;30871013;140176;267432;0;5
r;30871937;140176;322197;0;5
r;30874182;140176;1655358;0;5
r;30875594;140176;1909306;0;5
r;34780146;140176;1783470;0;5
r;30865040;140176;241242;0;6
r;30872917;140176;440950;0;6
r;54273409;140176;2396806;0;6
r;54273515;140176;2397046;0;6
r;10050467;140176;213644;0;7
r;10050471;140176;160013;0;7
r;13134642;140176;390927;0;7
r;30516213;140176;7544;0;7
r;30872922;140176;439554;0;7
r;30874597;140176;1767207;0;7
r;79458594;140176;146163;0;7
r;79463057;140176;164503;0;7
r;30865859;140176;590979;0;8
r;30874447;140176;1743612;0;8
r;31500544;140176;1718159;0;8
r;50750207;140176;2363244;0;8
r;50750220;140176;2363246;0;8
r;80187189;140176;118701;0;8
r;30559832;140176;62047;0;9
r;30874647;140176;1767569;0;9
r;31757991;140176;268569;0;9
r;15409347;140176;168156;0;10
r;15409349;140176;168154;0;10
r;15409366;140176;168140;0;10
r;15409368;140176;168137;0;10
r;15409376;140176;168127;0;10
r;15409382;140176;168120;0;10
r;15409398;140176;168109;0;10
r;15409417;140176;168094;0;10
r;15409459;140176;168060;0;10
r;15409469;140176;168053;0;10
r;15409471;140176;168045;0;10
r;15409490;140176;168025;0;10
r;15409504;140176;168009;0;10
r;15409526;140176;167989;0;10
r;15409562;140176;167953;0;10
r;15409574;140176;167944;0;10
r;15409639;140176;167884;0;10
r;15409655;140176;167873;0;10
r;15409662;140176;167865;0;10
r;15409682;140176;84175;0;10
r;15409729;140176;144194;0;10
r;15409756;140176;46345;0;10
r;15409767;140176;52333;0;10
r;15456491;140176;152578;0;10
r;30966898;140176;177272;0;10
r;53080591;140176;2372260;0;10
r;53081555;140176;2563407;0;10
r;10559210;140176;120157;0;11
r;30559886;140176;66570;0;11
r;53083890;140176;2496708;0;11
r;53084030;140176;2489662;0;11
r;248449489;140176;8749030;0;11
r;262552686;140176;238363;0;11
r;262552729;140176;152610;0;11
r;262552737;140176;227291;0;11
r;418228796;140176;55834;0;11
r;30516198;140176;1890279;0;12
r;219140704;140176;3332725;0;12
r;248283848;140176;225604;0;12
r;9901278;140176;122821;0;13
r;31087777;140176;183425;0;13
r;31087808;140176;268522;0;13
r;53080595;140176;2371970;0;13
r;96622657;140176;52611;0;13
r;9978316;140176;151867;0;14
r;9978289;140176;95256;0;14
r;9903738;140176;11426;0;14
r;10050469;140176;96211;0;14
r;18586602;140176;590981;0;14
r;22142095;140176;310081;0;14
r;22198170;140176;389958;0;14
r;22198171;140176;309349;0;14
r;22198172;140176;278651;0;14
r;22198173;140176;1171694;0;14
r;22198174;140176;1171697;0;14
r;23420062;140176;1379743;0;14
r;26018063;140176;306729;0;14
r;30711392;140176;54327;0;14
r;10460051;140176;219363;0;15
r;15456493;140176;152125;0;15
r;18586603;140176;590983;0;15
r;18586604;140176;590985;0;15
r;18586605;140176;590986;0;15
r;18586606;140176;590987;0;15
r;18586607;140176;590988;0;15
r;18586608;140176;590980;0;15
r;18586641;140176;590984;0;15
r;18586657;140176;590982;0;15
r;23443902;140176;158171;0;15
r;23456536;140176;9229;0;15
r;23888179;140176;290411;0;15
r;24418764;140176;1468885;0;15
r;24433132;140176;307219;0;15
r;27602116;140176;1659117;0;15
r;27621437;140176;1659118;0;15
r;28444999;140176;1727024;0;15
r;29174224;140176;1774611;0;15
r;29455308;140176;135184;0;15
r;30465713;140176;164561;0;15
r;30870596;140176;258539;0;15
r;96622710;140176;220684;0;15
r;96622711;140176;55959;0;15
r;97138112;140176;55716;0;15
r;97144712;140176;30468;0;15
r;98890580;140176;14658;0;15
r;19196895;140176;599477;0;16
r;20381359;140176;790176;0;16
r;20637926;140176;194626;0;16
r;20728802;140176;309580;0;16
r;20836522;140176;891239;0;16
r;21025792;140176;1002612;0;16
r;21750489;140176;309453;0;16
r;21782564;140176;310258;0;16
r;21839590;140176;306958;0;16
r;23397763;140176;224557;0;16
r;23667593;140176;1402808;0;16
r;23715308;140176;1418296;0;16
r;27602129;140176;1659116;0;16
r;27619551;140176;84005;0;16
r;27639475;140176;1661773;0;16
r;27833550;140176;1600339;0;16
r;28434413;140176;1725793;0;16
r;28438651;140176;1728477;0;16
r;28438665;140176;1729708;0;16
r;28438668;140176;422494;0;16
r;28444988;140176;1727023;0;16
r;28457695;140176;1731192;0;16
r;28910919;140176;72319;0;16
r;30866298;140176;261904;0;16
r;96622678;140176;218648;0;16
r;96622680;140176;34882;0;16
r;96622683;140176;32982;0;16
r;96622684;140176;165658;0;16
r;97144710;140176;61490;0;16
r;254668718;140176;231432;0;16
r;10992825;140176;57875;0;17
r;11003862;140176;215135;0;17
r;11003864;140176;215534;0;17
r;11008211;140176;154845;0;17
r;11015160;140176;126388;0;17
r;11015254;140176;241352;0;17
r;11015456;140176;108463;0;17
r;11016183;140176;240720;0;17
r;11017295;140176;109785;0;17
r;11019364;140176;83944;0;17
r;11019376;140176;103311;0;17
r;11039633;140176;47319;0;17
r;14431682;140176;436316;0;17
r;14431717;140176;290231;0;17
r;14431779;140176;70086;0;17
r;21750488;140176;307215;0;17
r;23861245;140176;1418294;0;17
r;23883151;140176;53380;0;17
r;24252372;140176;211423;0;17
r;25905948;140176;273957;0;17
r;27639471;140176;1661775;0;17
r;27676031;140176;1661822;0;17
r;28788984;140176;352605;0;17
r;96622659;140176;114288;0;17
r;9901823;140176;106030;0;18
r;14430217;140176;436339;0;18
r;14430222;140176;436340;0;18
r;14430225;140176;436341;0;18
r;14430965;140176;436331;0;18
r;30864991;140176;323310;0;18
r;96622658;140176;97373;0;18
r;9903740;140176;194416;0;19
r;27676028;140176;1661821;0;19
r;27676034;140176;1661823;0;19
r;30865996;140176;1307647;0;19
r;30866392;140176;1722627;0;19
r;34477813;140176;35209;0;19
r;459181395;140176;214988;0;20
r;945400;140176;25345;0;21
r;9903607;140176;141075;0;21
r;9909001;140176;72426;0;21
r;9910443;140176;240504;0;21
r;10575007;140176;74203;0;21
r;10587602;140176;135311;0;21
r;10587667;140176;146273;0;21
r;10588335;140176;192928;0;21
r;10588336;140176;192929;0;21
r;10588337;140176;192930;0;21
r;10588340;140176;192933;0;21
r;10588341;140176;192934;0;21
r;10588342;140176;192935;0;21
r;10588343;140176;192936;0;21
r;10588344;140176;192937;0;21
r;10588345;140176;192938;0;21
r;10588346;140176;192939;0;21
r;10588347;140176;192940;0;21
r;10588349;140176;192942;0;21
r;10588351;140176;192944;0;21
r;10588352;140176;192945;0;21
r;10588353;140176;192946;0;21
r;10588354;140176;192947;0;21
r;10588356;140176;192949;0;21
r;10588357;140176;192950;0;21
r;10588358;140176;192951;0;21
r;10588359;140176;192952;0;21
r;10588360;140176;192953;0;21
r;10588362;140176;192955;0;21
r;10588363;140176;192956;0;21
r;10588364;140176;192957;0;21
r;10588365;140176;192958;0;21
r;10588366;140176;192959;0;21
r;10588367;140176;192960;0;21
r;10588368;140176;192961;0;21
r;10588369;140176;192962;0;21
r;10588370;140176;81170;0;21
r;10588371;140176;35428;0;21
r;10588372;140176;192963;0;21
r;10588373;140176;192964;0;21
r;10588374;140176;192965;0;21
r;10588375;140176;192966;0;21
r;10588376;140176;192967;0;21
r;10588377;140176;192968;0;21
r;10588378;140176;102200;0;21
r;10588379;140176;192969;0;21
r;10588380;140176;192970;0;21
r;10588382;140176;192972;0;21
r;10588383;140176;192973;0;21
r;10588384;140176;192974;0;21
r;10588385;140176;192975;0;21
r;10588386;140176;192976;0;21
r;10588387;140176;192977;0;21
r;10588388;140176;192978;0;21
r;10588389;140176;192979;0;21
r;10588390;140176;192980;0;21
r;10588391;140176;192981;0;21
r;10588392;140176;192982;0;21
r;10588393;140176;52155;0;21
r;10588394;140176;192983;0;21
r;10588395;140176;192984;0;21
r;10588396;140176;192985;0;21
r;10588397;140176;192986;0;21
r;10588398;140176;192987;0;21
r;10588399;140176;192988;0;21
r;10588400;140176;192989;0;21
r;10588401;140176;92398;0;21
r;10588402;140176;192990;0;21
r;10588403;140176;192991;0;21
r;10588406;140176;192994;0;21
r;10588408;140176;192996;0;21
r;10588409;140176;52608;0;21
r;10588411;140176;68555;0;21
