r;rid;node1;node2;type;w
r;212809681;61283;7054252;0;1
r;300058099;61283;11662219;0;1
r;32053382;61283;302021;0;2
r;30822117;61283;168282;0;3
r;33885310;61283;2324856;0;3
r;33885315;61283;2324858;0;3
r;33885579;61283;368081;0;3
r;33885590;61283;368094;0;3
r;33885604;61283;368104;0;3
r;33885605;61283;368088;0;3
r;33885612;61283;368111;0;3
r;33885613;61283;368110;0;3
r;33885624;61283;368093;0;3
r;33885628;61283;368085;0;3
r;33885633;61283;368084;0;3
r;33885637;61283;368096;0;3
r;33885640;61283;368103;0;3
r;33885650;61283;368108;0;3
r;33885660;61283;368098;0;3
r;33885663;61283;368089;0;3
r;33885680;61283;368086;0;3
r;33885763;61283;368083;0;3
r;33885770;61283;368107;0;3
r;33885807;61283;368095;0;3
r;33885851;61283;368109;0;3
r;33885901;61283;368105;0;3
r;33885912;61283;368082;0;3
r;33885961;61283;368112;0;3
r;33885972;61283;368100;0;3
r;33886432;61283;368099;0;3
r;33886434;61283;368080;0;3
r;33886466;61283;368091;0;3
r;33886554;61283;368087;0;3
r;33886827;61283;368102;0;3
r;423562202;61283;143415;0;3
r;423562207;61283;179763;0;3
r;423562206;61283;124426;0;3
r;423562205;61283;7468;0;3
r;423562203;61283;144099;0;3
r;423562201;61283;167773;0;3
r;423562200;61283;173402;0;3
r;423562204;61283;96370;0;3
r;9992593;61283;115865;0;4
r;423562186;61283;5723217;0;4
r;12878522;61283;322821;0;4
r;12878536;61283;322820;0;4
r;33885553;61283;368106;0;4
r;33885566;61283;368090;0;4
r;423562199;61283;163103;0;4
r;423562196;61283;93307;0;4
r;423562195;61283;287461;0;4
r;423562192;61283;5580223;0;4
r;423562191;61283;93416;0;4
r;423562188;61283;2933792;0;4
r;423562183;61283;82873;0;4
r;423562179;61283;95934;0;4
r;423562176;61283;2374829;0;4
r;423562174;61283;2641107;0;4
r;423562169;61283;428031;0;4
r;423562166;61283;405501;0;4
r;423562165;61283;418777;0;4
r;423562149;61283;56966;0;4
r;423562142;61283;112202;0;4
r;423562137;61283;95563;0;4
r;423562135;61283;277044;0;4
r;423562132;61283;80742;0;4
r;423562131;61283;41873;0;4
r;423562128;61283;68712;0;4
r;423562125;61283;72118;0;4
r;423562123;61283;136653;0;4
r;423562122;61283;540;0;4
r;423562121;61283;85611;0;4
r;423562119;61283;50620;0;4
r;423562118;61283;187422;0;4
r;423562116;61283;92043;0;4
r;423562114;61283;12240;0;4
r;423562113;61283;174972;0;4
r;423562106;61283;94787;0;4
r;423562104;61283;58727;0;4
r;423562102;61283;153931;0;4
r;423562100;61283;1584;0;4
r;423562099;61283;143013;0;4
r;423562097;61283;102089;0;4
r;423562096;61283;123696;0;4
r;423562094;61283;160504;0;4
r;423562093;61283;35114;0;4
r;423562087;61283;23077;0;4
r;423562085;61283;89392;0;4
r;423562083;61283;108827;0;4
r;423562167;61283;418937;0;4
r;423562120;61283;116536;0;4
r;423562130;61283;181514;0;4
r;423562144;61283;173330;0;4
r;423562197;61283;44013;0;4
r;12869993;61283;21742;0;5
r;31557961;61283;368101;0;5
r;48897537;61283;65846;0;5
r;52750801;61283;2365163;0;5
r;103311207;61283;45722;0;5
r;423562194;61283;122719;0;5
r;423562193;61283;162675;0;5
r;423562182;61283;140048;0;5
r;423562178;61283;135737;0;5
r;423562170;61283;408516;0;5
r;423562168;61283;412774;0;5
r;423562161;61283;145686;0;5
r;423562160;61283;24443;0;5
r;423562148;61283;26510;0;5
r;423562147;61283;38266;0;5
r;423562146;61283;133003;0;5
r;423562145;61283;89142;0;5
r;423562105;61283;116863;0;5
r;423562095;61283;92919;0;5
r;423562092;61283;130011;0;5
r;423562089;61283;216164;0;5
r;423562117;61283;14455;0;5
r;31677938;61283;231735;0;6
r;34697569;61283;2348341;0;6
r;34697572;61283;2348383;0;6
r;34697600;61283;2348355;0;6
r;34697605;61283;2348356;0;6
r;34697608;61283;2348391;0;6
r;34697610;61283;2348357;0;6
r;35636542;61283;137681;0;6
r;54274834;61283;2403584;0;6
r;423562173;61283;159803;0;6
r;423562171;61283;113533;0;6
r;423562112;61283;111649;0;6
r;423562111;61283;42148;0;6
r;423562103;61283;140243;0;6
