r;rid;node1;node2;type;w
r;24088666;113314;239128;0;1000000
r;26079510;113314;241794;36;315
r;9923962;113314;142894;6;204
r;2378637;113314;116552;6;199
r;1670137;113314;218224;6;198
r;13515267;113314;143277;6;197
r;2378635;113314;72025;6;197
r;1364356;113314;140176;6;197
r;1670129;113314;220337;6;196
r;2378636;113314;55488;6;195
r;10764129;113314;40733;6;181
r;21905388;113314;1140776;128;175
r;21905380;113314;1140774;128;175
r;13925718;113314;326373;6;175
r;13513496;113314;265837;6;175
r;11420932;113314;283634;6;174
r;21905392;113314;1140777;128;173
r;21905376;113314;1140773;128;173
r;21905384;113314;1140775;128;171
r;21905372;113314;1140772;128;171
r;11425032;113314;110773;6;170
r;11429510;113314;91794;6;169
r;11433685;113314;101018;6;163
r;9414366;113314;142894;0;159
r;2897374;113314;86640;6;158
r;10768579;113314;264881;6;156
r;21905368;113314;1140771;128;153
r;21905356;113314;1140768;128;151
r;55025689;113314;2585997;36;150
r;10863675;113314;265277;6;149
r;10786043;113314;317929;6;149
r;21905360;113314;1140769;128;147
r;10923396;113314;142602;6;144
r;9414367;113314;3218;0;144
r;2915687;113314;248081;6;144
r;21905364;113314;1140770;128;143
r;11255541;113314;265220;6;141
r;21905352;113314;1140767;128;139
r;12047068;113314;330964;6;139
r;10751641;113314;115304;6;139
r;10756927;113314;264880;6;138
r;17895091;113314;223173;36;137
r;21905348;113314;1140766;128;131
r;21905344;113314;1140765;128;131
r;10780772;113314;264908;6;123
r;2133782;113314;233133;6;122
r;21905340;113314;1140764;128;119
r;9613120;113314;55823;6;117
r;2083351;113314;17559;6;117
r;21905400;113314;1140779;128;115
r;21905336;113314;1140763;128;115
r;11120877;113314;325741;6;114
r;21905404;113314;1140780;128;113
r;21905332;113314;1140762;128;111
r;14415960;113314;329657;6;111
r;11137051;113314;325736;6;109
r;21905328;113314;1140761;128;107
r;11130348;113314;325738;6;105
r;21905324;113314;1140760;128;103
r;11143669;113314;325731;6;101
r;11150290;113314;325728;6;95
r;21905320;113314;1140759;128;91
r;21905316;113314;1140758;128;91
r;21905312;113314;1140757;128;91
r;10928831;113314;54794;6;89
r;21905308;113314;1140756;128;87
r;1377210;113314;140176;0;85
r;78648341;113314;331036;6;83
r;83285353;113314;246198;6;80
r;83285503;113314;262332;6;80
r;21905714;113314;1140849;128;79
r;21905304;113314;1140755;128;79
r;21905300;113314;1140754;128;79
r;11272107;113314;265220;0;76
r;11165110;113314;325728;0;76
r;11178352;113314;325731;0;74
r;78636643;113314;396042;6;72
r;11439771;113314;101018;0;72
r;21905396;113314;1140778;128;71
r;21905296;113314;1140753;128;71
r;11447993;113314;91794;0;71
r;11191591;113314;325736;0;71
r;26762995;113314;254877;36;70
r;9888560;113314;55823;0;70
r;11456193;113314;110773;0;69
r;11204991;113314;325738;0;69
r;11464381;113314;283634;0;68
r;78642739;113314;265838;6;67
r;11223487;113314;325741;0;67
r;10955006;113314;142602;0;66
r;10944276;113314;54794;0;66
r;10917510;113314;265277;0;66
r;10810216;113314;264908;0;66
r;10799674;113314;317929;0;66
r;79928091;113314;87789;6;65
r;24544783;113314;1483990;6;65
r;21905292;113314;1140752;128;65
r;10846426;113314;264880;0;64
r;10832022;113314;40733;0;64
r;10823124;113314;264881;0;64
r;80359525;113314;267642;6;63
r;10856998;113314;115304;0;62
r;13073827;113314;230197;5;60
r;13073824;113314;13132;5;60
r;21905288;113314;1140751;128;59
r;13865219;113314;225847;6;58
r;79935850;113314;391010;6;56
r;79920334;113314;391009;6;56
r;13073828;113314;9120;5;56
r;9811614;113314;248081;0;56
r;9803613;113314;86640;0;56
r;13861109;113314;65081;6;55
r;1581335;113314;64238;0;55
r;14027124;113314;237445;6;54
r;13073826;113314;53816;5;54
r;13724668;113314;234036;6;53
r;13073825;113314;139791;5;53
r;9764317;113314;116552;0;53
r;9764315;113314;55488;0;53
r;9764313;113314;72025;0;53
r;9736995;113314;233133;0;53
r;2693097;113314;218648;15;53
r;2088146;113314;71624;6;53
r;13977989;113314;260820;6;52
r;9713560;113314;71624;0;51
r;9704149;113314;17559;0;51
r;59501091;113314;2373008;5;46
r;83904811;113314;436570;6;45
r;54067481;113314;2586629;4;45
r;54036479;113314;2586628;4;45
r;1670122;113314;146881;4;45
r;414077045;113314;15901141;128;43
r;31236974;113314;143669;0;43
r;21905272;113314;1140747;128;43
r;15870684;113314;114327;9;43
r;31218524;113314;143669;3;42
r;1955590;113314;191669;36;42
r;21905284;113314;1140750;128;41
r;21905280;113314;1140749;128;41
r;13795106;113314;36482;3;41
r;9675180;113314;220337;0;41
r;2619762;113314;148105;9;41
r;1367783;113314;171870;4;41
r;15313921;113314;36482;0;40
r;9675194;113314;218224;0;40
r;2539015;113314;215896;9;40
r;77953158;113314;162763;36;39
r;33369681;113314;28453;32;39
r;2771183;113314;233138;9;39
r;89131173;113314;3572686;444;38
r;59502713;113314;2360676;5;38
r;14080037;113314;326373;0;37
r;2653307;113314;144846;9;37
r;21905276;113314;1140748;128;35
r;15355323;113314;46057;0;35
r;14129180;113314;260820;0;35
r;11829139;113314;330215;17;35
r;313203253;113314;276096;36;35
r;2850513;113314;96211;9;35
r;2716227;113314;3508;9;35
r;120670010;113314;5871533;0;34
r;25781064;113314;1636805;9;34
r;13877640;113314;65081;0;34
r;13771291;113314;234036;0;34
r;13563197;113314;265837;0;34
r;2672875;113314;120157;10;34
r;2542837;113314;233008;9;34
r;78059109;113314;3228593;444;32
r;59495915;113314;2501304;5;32
r;13873524;113314;225847;0;32
r;2880513;113314;122864;17;32
r;2707838;113314;95256;9;32
r;2637481;113314;36886;10;32
r;102294215;113314;144083;15;31
r;89987821;113314;3575927;18;31
r;15796469;113314;224422;24;31
r;11835189;113314;247057;0;31
r;1358486;113314;46057;3;31
r;347579415;113314;105814;24;30
r;234482764;113314;6681658;24;30
r;119417316;113314;6148925;444;30
r;96104353;113314;251716;36;30
r;78811137;113314;113314;19;30
r;78266652;113314;33882;24;30
r;78257299;113314;99220;17;30
r;59998853;113314;2501304;0;30
r;26762994;113314;254876;36;30
r;24551396;113314;1483990;0;30
r;15320553;113314;117095;0;30
r;11802192;113314;73827;24;30
r;3005430;113314;112239;24;30
r;2956158;113314;47918;24;30
r;2942641;113314;139709;24;30
r;2921431;113314;259820;24;30
r;2864005;113314;213857;24;30
r;2834786;113314;43253;24;30
r;2802464;113314;251694;24;30
r;2722864;113314;115440;24;30
r;2688612;113314;124600;24;30
r;2664539;113314;2442;24;30
r;2647163;113314;43601;24;30
r;2614988;113314;130164;24;30
r;83923534;113314;316850;6;29
r;15711921;113314;152125;0;29
r;13788430;113314;117095;3;29
r;13178728;113314;13132;0;29
r;13178726;113314;139791;0;29
r;13022787;113314;95422;9;29
r;2659330;113314;214603;9;29
r;2642337;113314;151867;9;29
r;2623621;113314;77008;9;29
r;2606042;113314;124919;9;29
r;121716071;113314;35143;0;28
r;72973787;113314;103405;32;28
r;14148762;113314;237445;0;28
r;13561524;113314;143277;0;28
r;12443642;113314;330964;0;28
r;10188420;113314;3508;0;28
r;2886339;113314;108463;9;28
r;2627477;113314;77424;9;28
r;2602592;113314;62726;9;28
r;21905428;113314;1140786;128;27
r;12999037;113314;390927;9;27
r;11810092;113314;213792;9;27
r;11261400;113314;326146;9;27
r;2993322;113314;241352;9;27
r;2986800;113314;141814;9;27
r;2758426;113314;74846;9;27
r;2702172;113314;1384;17;27
r;2610216;113314;43853;9;27
r;2598364;113314;8990;9;27
r;2546662;113314;213545;9;27
r;429672076;113314;3224813;6;26
r;121087916;113314;35143;3;26
r;59996375;113314;2373008;0;26
r;14712045;113314;16747;9;26
r;13732726;113314;102934;17;26
r;11806128;113314;213644;9;26
r;11798400;113314;74558;9;26
r;10774334;113314;57875;9;26
r;10172544;113314;95256;0;26
r;3040106;113314;126388;9;26
r;3011467;113314;152844;9;26
r;2972814;113314;83944;9;26
r;2967775;113314;103311;9;26
r;2936312;113314;240720;9;26
r;2930957;113314;219363;9;26
r;2909506;113314;109785;9;26
r;2905511;113314;47319;9;26
r;2901525;113314;126285;9;26
r;2871573;113314;139779;9;26
r;2779713;113314;116980;9;26
r;2669325;113314;92955;9;26
r;2631075;113314;225934;9;26
r;2550496;113314;237765;9;26
r;479127977;113314;11008328;9;25
r;424941340;113314;398564;9;25
r;416015871;113314;14954664;0;25
r;414014130;113314;364788;10;25
r;393714726;113314;7256380;3;25
r;391412692;113314;14940408;6;25
r;390410353;113314;14954664;333;25
r;390410351;113314;14916413;18;25
r;390410348;113314;11456112;333;25
r;385271672;113314;6825581;3;25
r;385254640;113314;273420;3;25
r;385223965;113314;6947917;3;25
r;383990274;113314;2461482;6;25
r;479729705;113314;1655534;6;25
r;377817767;113314;12791689;9;25
r;377450256;113314;12321907;6;25
r;359477744;113314;14049844;6;25
r;357264511;113314;14049840;6;25
r;357099762;113314;14049831;6;25
r;348830879;113314;5871533;5;25
r;338467272;113314;11456112;0;25
r;314912294;113314;101689;6;25
r;59995528;113314;2360676;0;24
r;14682084;113314;329657;0;24
r;13178720;113314;9120;0;23
r;244811553;113314;246198;0;22
r;244811551;113314;262332;0;21
r;244811544;113314;391010;0;21
r;244811542;113314;87789;0;21
r;244811540;113314;391009;0;21
r;244811538;113314;267642;0;21
r;244811535;113314;331036;0;21
r;244811532;113314;265838;0;21
r;244811530;113314;396042;0;21
r;13178724;113314;53816;0;21
r;13178722;113314;230197;0;21
r;21905706;113314;1140847;128;15
r;10548857;113314;120157;0;12
r;413692262;113314;15080161;10;11
r;177326511;113314;6797233;9;11
r;10540045;113314;36886;0;11
r;296588210;113314;115013;777;10
r;296588209;113314;64408;777;10
r;296588208;113314;134169;777;10
r;296588207;113314;14265;777;10
r;296588206;113314;139109;777;10
r;296588205;113314;143291;777;10
r;296588204;113314;5808214;777;10
r;296588203;113314;431843;777;10
r;296588202;113314;10791578;777;10
r;296588201;113314;5722523;777;10
r;296588200;113314;311875;777;10
r;296588199;113314;119663;777;10
r;296588196;113314;93731;777;10
r;296588195;113314;2435253;777;10
r;296588194;113314;31029;777;10
r;296588193;113314;114278;777;10
r;296588192;113314;145;777;10
r;296588191;113314;142118;777;10
r;296588190;113314;2378581;777;10
r;296588189;113314;302937;777;10
r;296588188;113314;306431;777;10
r;296588187;113314;2891487;777;10
r;296588186;113314;401701;777;10
r;296588185;113314;5669738;777;10
r;296588184;113314;593901;777;10
r;296588183;113314;5933493;777;10
r;296588182;113314;425378;777;10
r;296588181;113314;22714;777;10
r;296588180;113314;2582900;777;10
r;296588179;113314;398613;777;10
r;296588178;113314;400463;777;10
r;296588177;113314;6016030;777;10
r;296588176;113314;418951;777;10
r;296588175;113314;415222;777;10
r;296588174;113314;414634;777;10
r;296588173;113314;405691;777;10
r;296588172;113314;2572931;777;10
r;296588171;113314;133246;777;10
r;296588170;113314;5879638;777;10
r;296588169;113314;283684;777;10
r;296588168;113314;2002997;777;10
r;296588167;113314;3396801;777;10
r;296588166;113314;2027238;777;10
r;296588165;113314;420513;777;10
r;296588164;113314;431214;777;10
r;296588163;113314;3303689;777;10
r;296588162;113314;324089;777;10
r;296588161;113314;5872341;777;10
r;296588160;113314;4901156;777;10
r;296588159;113314;3596554;777;10
r;296588158;113314;1971177;777;10
r;296588157;113314;2110547;777;10
r;296588156;113314;5996233;777;10
r;296588155;113314;9657195;777;10
r;7515484;113314;113669;777;10
r;7515481;113314;126576;777;10
r;7515477;113314;234871;777;10
r;7515474;113314;299594;777;10
r;7515464;113314;219798;777;10
r;7515463;113314;142229;777;10
r;7515457;113314;34659;777;10
r;7515454;113314;123732;777;10
r;7515451;113314;77982;777;10
r;7515448;113314;83522;777;10
r;7515445;113314;33926;777;10
r;7515442;113314;180083;777;10
r;7515438;113314;272711;777;10
r;7515435;113314;49612;777;10
r;7515429;113314;4187;777;10
r;7515428;113314;142481;777;10
r;7515423;113314;50862;777;10
r;7515420;113314;3145;777;10
r;7515417;113314;75068;777;10
r;7515414;113314;137391;777;10
r;7515411;113314;42313;777;10
r;7515408;113314;77735;777;10
r;7515405;113314;59598;777;10
r;7515401;113314;92415;777;10
r;7515393;113314;139391;777;10
r;7515389;113314;47004;777;10
r;7515388;113314;142019;777;10
r;7515377;113314;30183;777;10
r;7515374;113314;194257;777;10
r;7515368;113314;91870;777;10
r;7515362;113314;78325;777;10
r;7515358;113314;39253;777;10
r;7515350;113314;32193;777;10
r;7515347;113314;34410;777;10
r;7515344;113314;224994;777;10
r;7515339;113314;224993;777;10
r;7515331;113314;51000;777;10
r;7515328;113314;143945;777;10
r;7515325;113314;74037;777;10
r;7515322;113314;64817;777;10
r;7515318;113314;63264;777;10
r;7515312;113314;105925;777;10
r;7515305;113314;108243;777;10
r;7515302;113314;116686;777;10
r;7515299;113314;1197;777;10
r;7515298;113314;140767;777;10
r;7515293;113314;84023;777;10
r;7515287;113314;230769;777;10
r;7515284;113314;129181;777;10
r;7515278;113314;138801;777;10
r;7515272;113314;148362;777;10
r;7515269;113314;89760;777;10
r;7515266;113314;72905;777;10
r;7515265;113314;141474;777;10
r;7515260;113314;4407;777;10
r;7515257;113314;20164;777;10
r;7515256;113314;212776;777;10
r;7515251;113314;115444;777;10
r;7515248;113314;78127;777;10
r;7515245;113314;7589;777;10
r;7515242;113314;90273;777;10
r;7515241;113314;143103;777;10
r;7515236;113314;124919;777;10
r;7515233;113314;77046;777;10
r;7515224;113314;273164;777;10
r;7515221;113314;155081;777;10
r;7515220;113314;152214;777;10
r;7515215;113314;262512;777;10
r;7515210;113314;16718;777;10
r;7515207;113314;110663;777;10
r;7515204;113314;279005;777;10
r;7515201;113314;126989;777;10
r;7515194;113314;3508;777;10
r;7515191;113314;125402;777;10
r;7515188;113314;133003;777;10
