r;rid;node1;node2;type;w
r;23940521;57258;239128;0;1000000
r;73948654;57258;2983124;555;14919
r;1996810;57258;223173;36;357
r;2298058;57258;248054;11;192
r;15446298;57258;3674;0;188
r;12077782;57258;218086;6;188
r;80665285;57258;3674;35;185
r;8763722;57258;296669;11;163
r;2007886;57258;241794;36;160
r;88952925;57258;148459;0;118
r;80665286;57258;148459;35;115
r;93823800;57258;3762435;6;107
r;1417389;57258;171870;4;101
r;107842;57258;13284;0;99
r;2298042;57258;127285;6;94
r;107841;57258;136055;0;89
r;2298043;57258;127285;0;88
r;53564935;57258;17685;5;87
r;2298054;57258;89423;9;85
r;45008;57258;146885;4;84
r;169711;57258;28985;10;83
r;2298045;57258;43157;15;73
r;80665287;57258;3290198;1;70
r;276145;57258;57895;9;70
r;33443018;57258;28453;32;70
r;2292989;57258;28985;0;69
r;2298048;57258;72604;9;65
r;2298046;57258;13284;15;63
r;2298047;57258;222009;15;63
r;2327992;57258;254876;36;63
r;14655997;57258;106844;41;63
r;141871450;57258;7430223;41;63
r;184425;57258;106844;0;60
r;2292987;57258;23637;0;60
r;184424;57258;98798;0;59
r;3107884;57258;3898;0;59
r;380659;57258;148363;9;59
r;215151;57258;136055;10;59
r;84280803;57258;3336767;11;57
r;167484;57258;15127;9;56
r;215150;57258;87557;10;56
r;2292988;57258;24313;0;55
r;2298055;57258;39605;0;55
r;443227983;57258;1827111;0;55
r;84281817;57258;3336766;11;55
r;2292990;57258;49265;0;54
r;3107885;57258;13863;0;54
r;324776;57258;57258;19;54
r;3107883;57258;106523;0;53
r;55014731;57258;2585996;36;52
r;2292991;57258;46297;0;51
r;215152;57258;13284;10;51
r;211470584;57258;9247744;11;50
r;391235793;57258;14610238;41;50
r;471213232;57258;16279543;11;49
r;210561617;57258;7062446;333;49
r;2030902;57258;223172;36;46
r;54139716;57258;2586627;4;45
r;54178832;57258;2586629;4;45
r;34029756;57258;14330;32;44
r;34029757;57258;91691;32;44
r;107929994;57258;248054;0;42
r;1331800;57258;117533;0;40
r;443552396;57258;16830723;0;40
r;52528631;57258;187275;18;40
r;9981007;57258;13863;10;39
r;11351657;57258;251191;15;38
r;11351667;57258;251190;15;38
r;11352138;57258;154002;15;38
r;11352330;57258;69840;15;38
r;11352331;57258;235579;15;38
r;11357640;57258;28985;15;38
r;14656298;57258;45999;41;36
r;1645905;57258;222009;0;35
r;443670049;57258;6393438;0;35
r;12316739;57258;111254;5;35
r;10972992;57258;151749;10;35
r;14575417;57258;127089;10;35
r;107489327;57258;5406298;444;35
r;14447470;57258;422102;0;34
r;77906450;57258;69852;0;34
r;80665291;57258;3290199;1;34
r;440213;57258;3674;3;34
r;90025425;57258;3575927;18;34
r;107489328;57258;5406299;444;34
r;9984502;57258;148363;0;32
r;2298051;57258;234192;9;32
r;98881687;57258;4332566;10;32
r;316542222;57258;12202028;11;32
r;316542886;57258;12201930;11;32
r;80665290;57258;217817;36;32
r;119473838;57258;6246134;444;32
r;80665352;57258;148459;6;31
r;478504811;57258;44654;26;31
r;23416555;57258;88069;41;31
r;412293982;57258;15821689;128;31
r;119473835;57258;6246131;444;31
r;283134134;57258;11136749;1002;31
r;1331801;57258;21030;0;30
r;12477124;57258;218086;0;30
r;29327573;57258;154857;0;30
r;211454741;57258;7062446;0;30
r;210726929;57258;7062446;5;30
r;443670044;57258;16871294;5;30
r;80664970;57258;139303;6;30
r;300058825;57258;23637;26;30
r;478504816;57258;17558369;26;30
r;478504941;57258;17558371;26;30
r;443670045;57258;16871294;71;30
r;210671503;57258;7062446;72;30
r;78104614;57258;3228593;444;30
