r;rid;node1;node2;type;w
r;418276234;112239;296839;0;11
r;96661530;112239;124094;0;15
r;96661531;112239;241944;0;16
r;97334901;112239;220337;0;16
r;53732384;112239;66526;0;21
r;15718942;112239;152125;0;24
r;97334902;112239;99719;0;24
r;367338915;112239;14472238;0;25
r;367338741;112239;14472234;0;25
r;367338706;112239;4342056;0;25
r;364880944;112239;14355499;0;25
r;367366099;112239;14472984;0;25
r;366537486;112239;14435528;0;25
r;366537524;112239;115865;0;25
r;366537543;112239;14435531;0;25
r;366537694;112239;14435537;0;25
r;366537721;112239;14435538;0;25
r;367321794;112239;14471932;0;25
r;374304474;112239;4455;0;25
r;374304490;112239;214059;0;25
r;374304511;112239;321423;0;25
r;415451378;112239;14917352;0;25
r;415451380;112239;14929622;0;25
r;416012545;112239;14920574;0;25
r;416012547;112239;14955862;0;25
r;437332478;112239;16593241;0;25
r;437332592;112239;174124;0;25
r;437332630;112239;16593251;0;25
r;437506893;112239;16597185;0;25
r;471978973;112239;84319;0;25
r;471979008;112239;17350660;0;25
r;477724220;112239;165457;0;25
r;477724255;112239;17503343;0;25
r;477724293;112239;17503347;0;25
r;477724390;112239;331050;0;25
r;477724428;112239;17503355;0;25
r;478592896;112239;18285;0;25
r;478592931;112239;17562473;0;25
r;53732382;112239;87528;0;26
r;367366064;112239;68467;0;26
r;437506858;112239;79073;0;26
r;12220276;112239;54882;0;27
r;2057970;112239;219192;0;28
r;366537450;112239;153665;0;28
r;963860;112239;131142;0;29
r;335805779;112239;157361;0;29
r;963858;112239;124752;0;30
r;963859;112239;42963;0;30
r;1332003;112239;13444;0;30
r;1332004;112239;46057;0;30
r;1332005;112239;88491;0;34
r;76637299;112239;56015;0;35
r;15364712;112239;18412;0;36
r;88975900;112239;36906;0;53
r;11986171;112239;19210;0;56
r;8812643;112239;122821;0;61
r;13049959;112239;264327;0;61
r;321167762;112239;142277;0;65
r;2148097;112239;91801;0;70
r;2196992;112239;133172;0;70
r;2148095;112239;29786;0;80
r;15377302;112239;117095;0;89
r;1943596;112239;140176;0;90
r;2500809;112239;102934;0;91
r;2148096;112239;5979;0;104
r;1744235;112239;116175;0;272
r;1744236;112239;37194;0;280
r;23931694;112239;239128;0;1000000
r;76637291;112239;3177823;1;36
r;1929288;112239;239521;1;46
r;1929285;112239;239520;1;281
r;15664244;112239;152125;3;-20
r;473704294;112239;7256380;3;15
r;418276233;112239;46057;3;25
r;418464495;112239;36482;3;25
r;515900;112239;18412;3;32
r;499380;112239;117095;3;58
r;12105255;112239;212235;4;57
r;45238;112239;146882;4;68
r;329777438;112239;157361;5;29
r;53618372;112239;66526;5;68
r;53618373;112239;42963;5;72
r;53618371;112239;87528;5;75
r;721672;112239;54882;5;101
r;721673;112239;91801;5;103
r;721671;112239;5979;5;106
r;419555783;112239;15264670;11;38
r;289660422;112239;11305623;11;41
r;471204250;112239;16044617;11;46
r;28535002;112239;1737525;11;54
r;92915947;112239;3722215;11;55
r;8677583;112239;205864;11;163
r;210485328;112239;9179585;13;-30
r;384365048;112239;216120;13;-30
r;111324694;112239;5536212;13;-17
r;299514976;112239;6293868;13;1
r;303910597;112239;11786352;13;1
r;303929851;112239;11768045;13;1
r;303929852;112239;1897855;13;1
r;303929853;112239;11773712;13;1
r;303929859;112239;11774529;13;1
r;303929860;112239;11774527;13;1
r;303929862;112239;11774522;13;1
r;303929863;112239;11774523;13;1
r;303929867;112239;4257160;13;1
r;303929868;112239;11774516;13;1
r;303929869;112239;11774517;13;1
r;301704773;112239;6284498;13;2
r;301704776;112239;11664304;13;2
r;301704778;112239;11694007;13;2
r;301714812;112239;11694122;13;2
r;479470807;112239;17520819;13;2
r;479468793;112239;17525527;13;2
r;479468559;112239;17525528;13;2
r;479469400;112239;17520481;13;2
r;479465596;112239;369907;13;2
r;479465551;112239;92766;13;2
r;479468832;112239;17525525;13;2
r;479471184;112239;17520476;13;2
r;479471185;112239;17520477;13;2
r;479471186;112239;17520480;13;2
r;479471187;112239;17520484;13;2
r;297572165;112239;11479150;13;3
r;297572189;112239;11456228;13;3
r;297572248;112239;11442438;13;3
r;297572266;112239;11442439;13;3
r;297572294;112239;11442437;13;3
r;297572315;112239;11442436;13;3
r;297572319;112239;11439949;13;3
r;297572344;112239;11439924;13;3
r;297572361;112239;11439903;13;3
r;297572377;112239;11439904;13;3
r;297572396;112239;11439858;13;3
r;297572407;112239;11439861;13;3
r;297572441;112239;11439818;13;3
r;297572473;112239;11439670;13;3
r;297572487;112239;11439386;13;3
r;297574900;112239;11553018;13;3
r;343642854;112239;13541434;13;3
r;347220782;112239;11417089;13;3
r;347220783;112239;11696985;13;3
r;347220784;112239;11773442;13;3
r;347220785;112239;11773470;13;3
r;347223707;112239;11755248;13;3
r;347226369;112239;5873212;13;3
r;347226370;112239;11439263;13;3
r;347226775;112239;13627180;13;3
r;347226776;112239;11060210;13;3
r;347226777;112239;13627866;13;3
r;347226778;112239;13627865;13;3
r;347226779;112239;13627867;13;3
r;347227965;112239;3875330;13;3
r;479459990;112239;17568521;13;3
r;479460948;112239;17562327;13;3
r;479460901;112239;17562324;13;3
r;479541519;112239;17585585;13;3
r;479460909;112239;17562344;13;3
r;479461524;112239;17562319;13;3
r;479457287;112239;17562322;13;3
r;254375243;112239;1598540;13;4
r;256023859;112239;10420988;13;4
r;256023861;112239;5674586;13;4
r;256023862;112239;5673211;13;4
r;301252766;112239;11691401;13;4
r;253346175;112239;10314503;13;5
r;253346176;112239;10314505;13;5
r;253346177;112239;10195096;13;5
r;253359211;112239;10314496;13;5
r;253359212;112239;8087;13;5
r;253359213;112239;10314509;13;5
r;253359214;112239;10314472;13;5
r;301558222;112239;6339078;13;5
r;477927879;112239;17498767;13;5
r;477929188;112239;17503356;13;5
r;477929191;112239;17503348;13;5
r;477931567;112239;17486930;13;5
r;477931875;112239;17486989;13;5
r;478592961;112239;17562472;13;5
r;476497339;112239;17433712;13;6
r;476497343;112239;17433739;13;6
r;476499313;112239;181582;13;6
r;476498253;112239;17433717;13;6
r;476497337;112239;17433709;13;6
r;476497341;112239;17433736;13;6
r;476498252;112239;17433720;13;6
r;476497344;112239;17433741;13;6
r;476497340;112239;17433735;13;6
r;476498254;112239;17433714;13;6
r;476497342;112239;17433738;13;6
r;476497338;112239;17433710;13;6
r;301237449;112239;11696783;13;6
r;301237460;112239;11696784;13;6
r;301238574;112239;11695104;13;6
r;301238576;112239;11695143;13;6
r;301238577;112239;11695141;13;6
r;301238578;112239;11695139;13;6
r;301238580;112239;11695135;13;6
r;301238581;112239;11695133;13;6
r;301238584;112239;11695128;13;6
r;301238585;112239;11695126;13;6
r;301238586;112239;11695122;13;6
r;301238587;112239;11695120;13;6
r;301238588;112239;11695118;13;6
r;301238589;112239;11695116;13;6
r;301238590;112239;11695114;13;6
r;301238592;112239;11695145;13;6
r;301238801;112239;6290337;13;6
r;301238802;112239;6296872;13;6
r;301238803;112239;6291068;13;6
r;301238804;112239;6317691;13;6
r;301238805;112239;11694109;13;6
r;301238807;112239;11694133;13;6
r;301238808;112239;11694114;13;6
r;301238809;112239;11694110;13;6
r;301238810;112239;11694104;13;6
r;301238811;112239;11694106;13;6
r;301238812;112239;11694098;13;6
r;301238856;112239;6292087;13;6
r;307217343;112239;11753333;13;6
r;307217347;112239;11808554;13;6
r;349294249;112239;13763481;13;6
r;365163683;112239;14376805;13;6
r;365164330;112239;14366046;13;6
r;365164331;112239;14366047;13;6
r;365164461;112239;14365480;13;6
r;296061076;112239;11518360;13;7
r;251566765;112239;5894673;13;7
r;251566766;112239;5536757;13;7
r;251566767;112239;10075043;13;7
r;251566768;112239;10075044;13;7
r;251566769;112239;10075041;13;7
r;251566771;112239;5894645;13;7
r;251566772;112239;10075039;13;7
r;251566773;112239;10075040;13;7
r;251566774;112239;10075037;13;7
r;251566776;112239;10075031;13;7
r;251566777;112239;10075032;13;7
r;251566778;112239;10075028;13;7
r;251566779;112239;10075029;13;7
r;251566781;112239;10075027;13;7
r;251566782;112239;10075024;13;7
r;251566783;112239;10075025;13;7
r;251566784;112239;10075022;13;7
r;251566786;112239;10075021;13;7
r;251566787;112239;5894585;13;7
r;251566788;112239;5894639;13;7
r;251566789;112239;10075018;13;7
r;251566790;112239;10075019;13;7
r;251566791;112239;2582130;13;7
r;251566792;112239;10075017;13;7
r;251566793;112239;10075016;13;7
r;251566795;112239;10075015;13;7
r;251566796;112239;10075011;13;7
r;251566803;112239;10075002;13;7
r;251566805;112239;10074998;13;7
r;251566806;112239;10074995;13;7
r;251566807;112239;10074996;13;7
r;251566808;112239;10074989;13;7
r;251566809;112239;10074990;13;7
r;251566810;112239;10074991;13;7
r;251566811;112239;10074992;13;7
r;251566814;112239;10074982;13;7
r;251566815;112239;10074983;13;7
r;251566816;112239;10074979;13;7
r;251566817;112239;10074980;13;7
r;251566819;112239;10074978;13;7
r;251566820;112239;10074975;13;7
r;251566821;112239;10074976;13;7
r;251566823;112239;10074970;13;7
r;251566824;112239;10074971;13;7
r;251566827;112239;5894587;13;7
r;251566831;112239;10074925;13;7
r;251566832;112239;10074926;13;7
r;251566833;112239;10074923;13;7
r;251566834;112239;10074924;13;7
r;251566835;112239;2588384;13;7
r;251566836;112239;2588383;13;7
r;251566837;112239;10074916;13;7
r;251566838;112239;10074913;13;7
r;251566839;112239;10074914;13;7
r;251566840;112239;10074893;13;7
r;251566843;112239;10074879;13;7
r;251566845;112239;10074875;13;7
r;251566846;112239;10074876;13;7
r;251566848;112239;10074872;13;7
r;251566849;112239;10074873;13;7
r;251566850;112239;10074870;13;7
r;251566851;112239;10074871;13;7
r;251566852;112239;10074868;13;7
r;251566853;112239;10074869;13;7
r;251566854;112239;10074866;13;7
r;251566855;112239;10074867;13;7
r;251566856;112239;10074864;13;7
r;251566857;112239;10074865;13;7
r;251566858;112239;10074862;13;7
r;251566860;112239;10074860;13;7
r;251566861;112239;10074861;13;7
r;251566865;112239;10074855;13;7
r;251566866;112239;10074856;13;7
r;251566867;112239;10074853;13;7
r;251566868;112239;10074854;13;7
r;251566869;112239;10074851;13;7
r;251566870;112239;10074852;13;7
r;251566871;112239;10074849;13;7
r;251566872;112239;10074850;13;7
r;251566874;112239;10074845;13;7
r;251566875;112239;10074846;13;7
r;251566876;112239;2785495;13;7
r;251566877;112239;303749;13;7
r;251566878;112239;303750;13;7
r;251566880;112239;10074842;13;7
r;251566881;112239;10074840;13;7
r;251566882;112239;10074841;13;7
r;251566883;112239;10074839;13;7
r;251566884;112239;10074837;13;7
r;251566885;112239;10074838;13;7
r;251566887;112239;10074836;13;7
r;251566888;112239;10074834;13;7
r;251566889;112239;10074833;13;7
r;251566890;112239;10074820;13;7
r;251566894;112239;10074813;13;7
r;251566896;112239;10074811;13;7
r;251566898;112239;10074809;13;7
r;251566899;112239;10074808;13;7
r;251566900;112239;10074806;13;7
r;251566901;112239;10074796;13;7
r;251566902;112239;10074797;13;7
r;251566903;112239;10074794;13;7
r;251566904;112239;10074795;13;7
r;251566905;112239;5686100;13;7
r;251566906;112239;10074789;13;7
r;251566907;112239;10074787;13;7
r;251566908;112239;10074788;13;7
r;251566909;112239;5686099;13;7
r;251566911;112239;10074786;13;7
r;251566913;112239;6412093;13;7
r;251566914;112239;10074784;13;7
r;251566915;112239;10074781;13;7
r;251566916;112239;10074782;13;7
r;251566917;112239;5536742;13;7
r;251566918;112239;5894687;13;7
r;251566919;112239;1829002;13;7
r;251566920;112239;1856443;13;7
r;251566921;112239;10074761;13;7
r;251566922;112239;10074763;13;7
r;251566923;112239;10074765;13;7
r;251566924;112239;10074759;13;7
r;251566925;112239;10074760;13;7
r;251566926;112239;10074755;13;7
r;251566927;112239;10074758;13;7
r;251566928;112239;2582520;13;7
r;251566929;112239;5894634;13;7
r;251566930;112239;5894632;13;7
r;251566931;112239;5894629;13;7
r;251566932;112239;5894628;13;7
r;251566933;112239;5536701;13;7
r;251566934;112239;5894627;13;7
r;251566935;112239;5894626;13;7
r;251566936;112239;5894624;13;7
r;251566937;112239;10074739;13;7
r;251566938;112239;3387165;13;7
r;251566939;112239;5894622;13;7
r;251566940;112239;5894623;13;7
r;251566942;112239;5894620;13;7
r;251566943;112239;5894619;13;7
r;251566944;112239;5894618;13;7
r;251566945;112239;5894617;13;7
r;251566946;112239;5894613;13;7
r;251566949;112239;5894611;13;7
r;251566951;112239;5894604;13;7
r;251566952;112239;5894602;13;7
r;251566953;112239;5894601;13;7
r;251566956;112239;9949298;13;7
r;251566957;112239;9936563;13;7
r;251566958;112239;9936476;13;7
r;251566959;112239;9936475;13;7
r;251566960;112239;10086882;13;7
r;251566961;112239;10082844;13;7
r;251566962;112239;10082847;13;7
r;251566963;112239;10081761;13;7
r;251566964;112239;10081762;13;7
r;251566965;112239;2914363;13;7
r;251566966;112239;957098;13;7
r;251566967;112239;957097;13;7
r;251566968;112239;10130103;13;7
r;251566969;112239;10086866;13;7
r;251566970;112239;10086869;13;7
r;251566971;112239;10128277;13;7
r;251566972;112239;10128276;13;7
r;251566973;112239;10076277;13;7
r;251566974;112239;10076349;13;7
r;251566975;112239;10076325;13;7
r;251566976;112239;10076288;13;7
r;251566977;112239;10105625;13;7
r;251566978;112239;10076345;13;7
r;251566979;112239;10076271;13;7
r;251566980;112239;10076328;13;7
r;251566981;112239;10076353;13;7
r;251566982;112239;10076287;13;7
r;251566983;112239;10076317;13;7
r;251566984;112239;10076295;13;7
r;251566985;112239;10076344;13;7
r;251566986;112239;10076342;13;7
r;251566987;112239;10076267;13;7
r;251566988;112239;10076276;13;7
r;251566991;112239;5536763;13;7
r;251566992;112239;10081830;13;7
r;251566993;112239;10081828;13;7
r;251566994;112239;10081827;13;7
r;251566995;112239;10081824;13;7
r;251566996;112239;397087;13;7
r;251566997;112239;5894671;13;7
r;296061075;112239;11517797;13;7
r;296061078;112239;11518361;13;7
r;307217344;112239;11753332;13;7
r;349501371;112239;2453232;13;7
r;349501372;112239;121890;13;7
r;354440672;112239;14029303;13;7
r;365121828;112239;14365483;13;7
r;113038906;112239;5707929;13;8
r;113039630;112239;5780460;13;8
r;113039631;112239;5780335;13;8
r;113039632;112239;5780333;13;8
r;113039633;112239;5780334;13;8
r;113039635;112239;5779799;13;8
r;113039636;112239;5779364;13;8
