r;rid;node1;node2;type;w
r;9982779;73126;77424;0;-23
r;15922520;73126;114327;0;-23
r;15684605;73126;16747;0;-22
r;10364789;73126;142086;0;-19
r;10365079;73126;107477;0;-18
r;10492349;73126;95422;0;-17
r;10004615;73126;225934;0;-14
r;10004613;73126;144846;0;-14
r;10113719;73126;116980;0;-14
r;10364841;73126;34898;0;-14
r;10365019;73126;140715;0;-14
r;10217582;73126;74846;0;-13
r;10382622;73126;139779;0;-13
r;10257853;73126;26363;0;-11
r;421519983;73126;416329;0;1
r;421519984;73126;422729;0;1
r;421519986;73126;14334765;0;1
r;421519988;73126;65625;0;1
r;421519989;73126;137725;0;1
r;421519993;73126;413795;0;1
r;421519997;73126;1890165;0;1
r;421520000;73126;11444;0;1
r;421520002;73126;139680;0;1
r;421520004;73126;5677835;0;1
r;421520005;73126;92601;0;1
r;421520007;73126;57611;0;1
r;421520009;73126;145384;0;1
r;421520010;73126;8760;0;1
r;421520014;73126;54165;0;1
r;421520016;73126;12278978;0;1
r;421520018;73126;10326817;0;1
r;421520020;73126;9420;0;1
r;421520022;73126;5907170;0;1
r;421520024;73126;71864;0;1
r;421520026;73126;419895;0;1
r;421520028;73126;139151;0;1
r;421520031;73126;169612;0;1
r;421520034;73126;3161436;0;1
r;421520037;73126;10899765;0;1
r;421520038;73126;71703;0;1
r;421520040;73126;1890176;0;1
r;421520042;73126;5895599;0;1
r;421520043;73126;77762;0;1
r;421520045;73126;1648566;0;1
r;421520048;73126;131577;0;1
r;421520049;73126;418938;0;1
r;421520050;73126;132425;0;1
r;421520051;73126;10327242;0;1
r;421520052;73126;9946110;0;1
r;421520053;73126;92260;0;1
r;421520054;73126;410189;0;1
r;421520055;73126;16084372;0;1
r;421520056;73126;51617;0;1
r;421520057;73126;431663;0;1
r;421520058;73126;109337;0;1
r;421520059;73126;418694;0;1
r;421520060;73126;110750;0;1
r;421520061;73126;2943928;0;1
r;421520062;73126;106607;0;1
r;421520063;73126;409598;0;1
r;421520064;73126;81124;0;1
r;421520065;73126;409765;0;1
r;421520066;73126;12975;0;1
r;421520067;73126;131592;0;1
r;421520068;73126;422656;0;1
r;421520069;73126;142850;0;1
r;421520071;73126;1815142;0;1
r;421520072;73126;123196;0;1
r;421520073;73126;69125;0;1
r;421520074;73126;144463;0;1
r;421520075;73126;18585;0;1
r;421520076;73126;599594;0;1
r;421520077;73126;85355;0;1
r;421520078;73126;141205;0;1
r;421520079;73126;131242;0;1
r;421520080;73126;1814737;0;1
r;421520081;73126;67179;0;1
r;421520082;73126;92143;0;1
r;421520083;73126;5785082;0;1
r;421520084;73126;16090442;0;1
r;421520085;73126;94535;0;1
r;421520086;73126;397915;0;1
r;421520087;73126;82118;0;1
r;421520088;73126;5813345;0;1
r;421520089;73126;144855;0;1
r;421520090;73126;22251;0;1
r;421520091;73126;140443;0;1
r;421520092;73126;2932583;0;1
r;421520093;73126;419810;0;1
r;421520095;73126;423244;0;1
r;421520096;73126;115477;0;1
r;421520097;73126;11286178;0;1
r;421520098;73126;54161;0;1
r;421520099;73126;3294349;0;1
r;421520100;73126;103028;0;1
r;421520101;73126;11993351;0;1
r;421520102;73126;53861;0;1
r;421520103;73126;107473;0;1
r;421520105;73126;428313;0;1
r;421520106;73126;138004;0;1
r;421520107;73126;20060;0;1
r;421520108;73126;428687;0;1
r;421520110;73126;30458;0;1
r;421520111;73126;152520;0;1
r;421520112;73126;26026;0;1
r;421520113;73126;409974;0;1
r;421520114;73126;75173;0;1
r;421520115;73126;15835490;0;1
r;421520117;73126;125205;0;1
r;421520118;73126;425859;0;1
r;421520120;73126;143187;0;1
r;421520122;73126;16090441;0;1
r;421520125;73126;143148;0;1
r;421520126;73126;63235;0;1
r;421520127;73126;142545;0;1
r;421520128;73126;60098;0;1
r;421520129;73126;221290;0;1
r;421520130;73126;65401;0;1
r;421520131;73126;432771;0;1
r;421520132;73126;78985;0;1
r;421520133;73126;30035;0;1
r;421520134;73126;146094;0;1
r;421520135;73126;2577247;0;1
r;421520136;73126;42188;0;1
r;421520137;73126;3178807;0;1
r;421520138;73126;58705;0;1
r;421520139;73126;5937321;0;1
r;421520140;73126;14614;0;1
r;421520141;73126;416318;0;1
r;421520142;73126;3361;0;1
r;421520143;73126;416844;0;1
r;421520144;73126;22546;0;1
r;421520145;73126;52063;0;1
r;421520146;73126;77587;0;1
r;421520147;73126;419417;0;1
r;421520148;73126;134651;0;1
r;421520149;73126;38625;0;1
r;421520150;73126;63887;0;1
r;421520151;73126;10389;0;1
r;421520152;73126;144093;0;1
r;421520153;73126;2321605;0;1
r;421520154;73126;32714;0;1
r;421520156;73126;5628493;0;1
r;421520157;73126;51623;0;1
r;421520158;73126;169558;0;1
r;421520159;73126;83310;0;1
r;421520160;73126;65411;0;1
r;421520161;73126;16550;0;1
r;421520162;73126;15773868;0;1
r;421520163;73126;88065;0;1
r;421520164;73126;92787;0;1
r;421520165;73126;2525;0;1
r;421520166;73126;465601;0;1
r;421520167;73126;34859;0;1
r;421520168;73126;88918;0;1
r;421520169;73126;412771;0;1
r;421520170;73126;26507;0;1
r;421520171;73126;1818057;0;1
r;421520172;73126;20911;0;1
r;421520174;73126;128683;0;1
r;421520175;73126;121301;0;1
r;421520176;73126;79895;0;1
r;421519995;73126;142138;0;2
r;421520029;73126;137333;0;2
r;421520035;73126;15386;0;2
r;421520041;73126;18280;0;2
r;421520047;73126;41067;0;2
r;421520070;73126;8319;0;2
r;421520094;73126;117152;0;2
r;421520155;73126;122482;0;2
r;421520173;73126;21149;0;2
r;391421869;73126;14940408;0;4
r;429402449;73126;14926182;0;5
r;54274724;73126;2583778;0;6
r;54274847;73126;2403785;0;6
r;33900859;73126;376238;0;7
r;33901154;73126;376239;0;7
