r;rid;node1;node2;type;w
r;23930067;3361;239128;0;1000000
r;73980422;3361;2983124;555;13556
r;318878353;3361;2983124;0;6240
r;2013710;3361;223173;36;500
r;457378628;3361;17117920;128;399
r;156543;3361;68467;0;289
r;11528876;3361;68467;35;245
r;1532388;3361;213387;1;227
r;2312647;3361;241794;36;207
r;2505530;3361;150367;6;202
r;5384482;3361;264067;11;189
r;5384477;3361;177298;11;189
r;5384468;3361;269614;11;189
r;13516002;3361;392519;6;179
r;1657032;3361;218940;6;168
r;9918921;3361;156430;6;166
r;9917320;3361;222542;6;165
r;8777471;3361;311461;11;164
r;8737442;3361;269722;11;164
r;8732192;3361;264621;11;164
r;8732188;3361;264619;11;164
r;8654129;3361;191612;11;164
r;8653658;3361;191294;11;164
r;8753836;3361;286473;11;163
r;8753834;3361;286472;11;163
r;8753828;3361;286468;11;163
r;8753825;3361;286466;11;163
r;8753822;3361;286463;11;163
r;8753820;3361;286461;11;163
r;8753819;3361;286459;11;163
r;8753813;3361;286456;11;163
r;8751730;3361;284528;11;163
r;8731554;3361;264070;11;163
r;8731528;3361;264056;11;163
r;8688769;3361;213260;11;163
r;8773208;3361;307539;11;162
r;8712501;3361;249228;11;162
r;8693836;3361;222553;11;162
r;8688768;3361;213259;11;162
r;8680332;3361;207513;11;162
r;8632733;3361;170440;11;162
r;1466940;3361;68467;6;161
r;213847335;3361;9461150;128;157
r;2505529;3361;154719;6;153
r;11650249;3361;152629;6;152
r;460703528;3361;17159759;140;143
r;3159113;3361;225291;6;130
r;3158775;3361;40056;6;130
r;217942269;3361;9735336;128;127
r;9616301;3361;55823;6;127
r;2232582;3361;233133;6;126
r;1421814;3361;171870;4;125
r;168188;3361;145583;0;120
r;156542;3361;49154;0;120
r;11124058;3361;325741;6;117
r;2230859;3361;17559;6;116
r;216378589;3361;6947697;333;114
r;24842114;3361;109533;15;112
r;24842109;3361;109533;10;112
r;24842104;3361;123418;6;110
r;13198292;3361;392679;11;110
r;12708627;3361;348649;11;110
r;12694051;3361;352309;11;110
r;156540;3361;23335;0;110
r;93824665;3361;3762435;6;109
r;33202919;3361;2319712;128;107
r;12641163;3361;365264;11;106
r;12586633;3361;378766;11;106
r;12586629;3361;378767;11;106
r;33202851;3361;2319699;128;105
r;33202843;3361;2319697;128;105
r;126818841;3361;7903986;140;104
r;33316559;3361;28453;32;103
r;12680879;3361;355569;11;103
r;14419139;3361;329657;6;102
r;11140232;3361;325736;6;102
r;33202855;3361;2319700;128;101
r;33202847;3361;2319698;128;101
r;33202839;3361;2319696;128;101
r;392170240;3361;15014186;66;100
r;364830817;3361;14334457;66;100
r;364830814;3361;14334460;66;100
r;33202835;3361;2319695;128;97
r;11133529;3361;325738;6;97
r;2348224;3361;40056;0;93
r;12257670;3361;21031;5;92
r;1577330;3361;114637;6;92
r;83488835;3361;265277;6;91
r;3121008;3361;86754;0;90
r;83485028;3361;248081;6;89
r;126897805;3361;7924172;128;87
r;83504008;3361;317929;6;87
r;11146850;3361;325731;6;86
r;457027;3361;106404;3;85
r;83487877;3361;330964;6;83
r;11153471;3361;325728;6;83
r;1736060;3361;177298;0;82
r;290377548;3361;11334543;128;81
r;83489796;3361;264881;6;81
r;83480345;3361;86640;6;81
r;83505929;3361;264880;6;80
r;83503014;3361;265220;6;80
r;83502057;3361;115304;6;80
r;33966253;3361;14330;32;80
r;11528878;3361;40056;35;80
r;10932012;3361;54794;6;78
r;11158747;3361;325728;0;77
r;1532402;3361;213389;1;77
r;83501100;3361;142602;6;76
r;83475935;3361;101018;6;75
r;15419136;3361;106404;0;75
r;11171990;3361;325731;0;75
r;11185227;3361;325736;0;73
r;83543230;3361;264908;6;72
r;51723;3361;146885;4;72
r;9894922;3361;55823;0;71
r;2324257;3361;254876;36;71
r;24546472;3361;1483990;6;70
r;229954;3361;21639;0;70
r;164114;3361;2447;0;70
r;11198629;3361;325738;0;69
r;2150899;3361;218940;0;69
r;10937914;3361;54794;0;68
r;11217125;3361;325741;0;67
r;80356285;3361;267642;6;66
r;78528717;3361;91691;32;66
r;63172435;3361;2769081;11;65
r;53630622;3361;130912;5;65
r;9857425;3361;225291;0;64
r;392134428;3361;15014185;26;63
r;333960556;3361;30536;26;63
r;13983049;3361;260820;6;63
r;364668036;3361;14334458;24;61
r;364668023;3361;18699;24;61
r;93720541;3361;3751691;11;60
r;93718210;3361;3751946;11;60
r;93713365;3361;3752471;11;60
r;93711927;3361;3752620;11;60
r;93696491;3361;3754258;11;60
r;93678166;3361;3756129;11;60
r;93677959;3361;3756149;11;60
r;93670716;3361;3756950;11;60
r;93654751;3361;3758652;11;60
r;93653303;3361;3758798;11;60
r;93651234;3361;3759008;11;60
r;93598208;3361;3751169;11;60
r;93504709;3361;3745323;11;60
r;93504549;3361;3745392;11;60
r;93503628;3361;3745543;11;60
r;93499062;3361;3746097;11;60
r;93498600;3361;3746151;11;60
r;93497729;3361;3746257;11;60
r;93497662;3361;3746267;11;60
r;93497528;3361;3746282;11;60
r;93496608;3361;3746395;11;60
r;93494241;3361;3746690;11;60
r;93487393;3361;3745108;11;60
r;93486398;3361;3745089;11;60
r;93469674;3361;3744714;11;60
r;93468694;3361;3744650;11;60
r;93467621;3361;3744485;11;60
r;93464455;3361;3744079;11;60
r;93463428;3361;3744294;11;60
r;93459106;3361;3744061;11;60
r;93458802;3361;3744002;11;60
r;93458166;3361;3743937;11;60
r;93455126;3361;3743712;11;60
r;93454941;3361;3743686;11;60
r;93450869;3361;3743677;11;60
r;86227096;3361;3360110;11;60
r;86226043;3361;3360056;11;60
r;86221392;3361;3359655;11;60
r;86215203;3361;3372222;11;60
r;86212744;3361;3362359;11;60
r;86202347;3361;3363623;11;60
r;86199109;3361;3364049;11;60
r;86195926;3361;3364506;11;60
r;86188420;3361;3365395;11;60
r;86184208;3361;3365802;11;60
r;86180270;3361;3366243;11;60
r;86180228;3361;3366247;11;60
r;86180172;3361;3366253;11;60
r;86177025;3361;3366622;11;60
r;86176946;3361;3366632;11;60
r;86176880;3361;3366640;11;60
r;86164737;3361;3368138;11;60
r;86161301;3361;3368530;11;60
r;86160975;3361;3368573;11;60
r;86160008;3361;3368698;11;60
r;86158396;3361;3368860;11;60
r;86156901;3361;3369001;11;60
r;86154720;3361;3369267;11;60
r;86154692;3361;3369271;11;60
r;86154590;3361;3369285;11;60
r;86154530;3361;3369294;11;60
r;86154526;3361;3369295;11;60
r;86154458;3361;3369303;11;60
r;86154444;3361;3369305;11;60
r;86154327;3361;3369318;11;60
r;86154271;3361;3369325;11;60
r;86149284;3361;3369933;11;60
r;86147564;3361;3370142;11;60
r;86147292;3361;3370176;11;60
r;86144453;3361;3370513;11;60
r;86140372;3361;3371018;11;60
r;86140306;3361;3371027;11;60
r;86139138;3361;3371173;11;60
r;86137961;3361;3371301;11;60
r;86137915;3361;3371307;11;60
r;86133469;3361;3371871;11;60
r;86132196;3361;3372037;11;60
r;86127334;3361;3359171;11;60
r;86110464;3361;3358987;11;60
r;83651126;3361;3318834;11;60
r;72060097;3361;2934411;11;60
r;50068096;3361;2359490;11;60
r;33799670;3361;2324888;11;60
r;208486;3361;36886;10;60
r;93711258;3361;3752689;11;59
r;93691204;3361;3754845;11;59
r;93688367;3361;3755152;11;59
r;93675253;3361;3756449;11;59
r;93674665;3361;3756514;11;59
r;93673342;3361;3756652;11;59
r;93665615;3361;3757494;11;59
r;93586183;3361;3751063;11;59
r;93494799;3361;3746621;11;59
r;93489177;3361;3745256;11;59
r;93486455;3361;3745074;11;59
r;93478667;3361;3744870;11;59
r;93476945;3361;3744439;11;59
r;93458637;3361;3743950;11;59
r;93455555;3361;3743831;11;59
r;86252834;3361;3361581;11;59
r;86232454;3361;3360519;11;59
r;86230560;3361;3360357;11;59
r;86227027;3361;3360097;11;59
r;86223589;3361;3359895;11;59
