r;rid;node1;node2;type;w
r;15756241;137333;140715;0;-30
r;15756245;137333;142086;0;-30
r;15937069;137333;16747;0;-30
r;10113561;137333;144846;0;-29
r;15756257;137333;26363;0;-29
r;15756227;137333;34898;0;-27
r;98704307;137333;19356;0;-26
r;15756249;137333;95422;0;-24
r;15918025;137333;114327;0;-22
r;15756233;137333;107477;0;-21
r;10372715;137333;139779;0;-13
r;10113661;137333;116980;0;-12
r;10151707;137333;77424;0;-12
r;10165000;137333;225934;0;-8
r;10217526;137333;74846;0;-8
r;9332087;137333;246329;0;1
r;370123215;137333;436570;0;1
r;370123217;137333;14049831;0;1
r;370123219;137333;14049819;0;1
r;390016404;137333;12694633;0;1
r;105307012;137333;145382;0;2
r;251569569;137333;48510;0;2
r;391422950;137333;14940408;0;3
r;2208451;137333;111366;0;5
r;2208463;137333;247483;0;5
r;10132839;137333;77008;0;5
r;248657507;137333;8955777;0;6
r;13134660;137333;390927;0;7
r;10208425;137333;233138;0;8
r;10215789;137333;47319;0;9
r;31837402;137333;286791;0;9
r;10227007;137333;126285;0;10
r;10228882;137333;32735;0;10
r;33925024;137333;383747;0;10
r;33925157;137333;383748;0;10
r;33925321;137333;383749;0;10
r;97055614;137333;240720;0;10
r;10256109;137333;109785;0;11
r;10536407;137333;36886;0;11
r;11706650;137333;39031;0;11
r;11708950;137333;213792;0;11
r;53081725;137333;2556720;0;11
r;248427167;137333;261961;0;11
r;248430114;137333;8969274;0;11
r;270587539;137333;391009;0;11
r;270587540;137333;87789;0;11
r;270587541;137333;391010;0;11
r;270587542;137333;267642;0;11
r;10314856;137333;187620;0;12
r;10555597;137333;120157;0;12
r;10281003;137333;96211;0;13
r;10344565;137333;8990;0;14
r;10437809;137333;219363;0;15
r;10458677;137333;187622;0;15
r;97055583;137333;114420;0;15
r;97055587;137333;123933;0;15
r;97322335;137333;102651;0;15
r;97322350;137333;159407;0;15
r;473701430;137333;14338;0;15
r;473701431;137333;78768;0;15
r;473701432;137333;183280;0;15
r;473701433;137333;8788318;0;15
r;10480930;137333;241352;0;16
r;11067116;137333;126388;0;16
r;97055557;137333;58768;0;16
r;10492912;137333;103311;0;17
r;10503010;137333;83944;0;17
r;10970148;137333;57875;0;17
r;97055630;137333;316850;0;17
r;298772695;137333;4333487;0;18
r;9907141;137333;231132;0;19
r;10217664;137333;152844;0;21
r;15574742;137333;95256;0;21
r;15756237;137333;81934;0;21
r;97055575;137333;103416;0;21
r;97055579;137333;108062;0;21
r;97055590;137333;138092;0;21
r;97055599;137333;164433;0;21
r;97055601;137333;175842;0;21
r;97055609;137333;218086;0;21
r;97055625;137333;265226;0;21
r;97055627;137333;265633;0;21
r;278511375;137333;4891735;0;21
r;9621418;137333;39101;0;22
r;10590757;137333;212184;0;22
r;14546477;137333;243696;0;22
r;15756265;137333;16110;0;22
r;30580793;137333;216283;0;22
r;97055563;137333;77938;0;22
r;15719009;137333;152125;0;23
r;15756261;137333;221019;0;23
r;97055554;137333;58404;0;23
r;97055623;137333;264598;0;23
r;123491222;137333;6737046;0;23
r;335790438;137333;452536;0;23
r;9641339;137333;135190;0;24
r;15786461;137333;213644;0;24
r;97322347;137333;93927;0;24
r;98551535;137333;45738;0;24
r;311342646;137333;3344053;0;24
r;348681303;137333;13752856;0;24
r;366688075;137333;2442;0;25
r;366688106;137333;14446671;0;25
r;367930977;137333;222843;0;25
r;368470434;137333;130164;0;25
r;368470468;137333;14510602;0;25
r;368470662;137333;14510607;0;25
r;368663042;137333;14531443;0;25
r;368663066;137333;14531444;0;25
r;414999041;137333;131593;0;25
r;415981152;137333;9158160;0;25
r;435552247;137333;101548;0;25
r;435552279;137333;16574733;0;25
r;435552293;137333;318416;0;25
r;435552336;137333;16574738;0;25
r;437384811;137333;130299;0;25
r;441384669;137333;7943;0;25
r;441384708;137333;16777417;0;25
