r;rid;node1;node2;type;w
r;24921336;140100;214848;0;1
r;211398266;140100;8999;0;1
r;218550073;140100;10287;0;1
r;361104580;140100;91948;0;1
r;364452066;140100;95448;0;1
r;418523475;140100;1857032;0;1
r;418523476;140100;399640;0;1
r;420666479;140100;16070333;0;1
r;99763095;140100;127547;0;2
r;93807215;140100;217141;0;2
r;93807217;140100;3363238;0;2
r;93807218;140100;3760624;0;2
r;418523446;140100;11326506;0;2
r;418523447;140100;1781260;0;2
r;418523448;140100;154717;0;2
r;418523449;140100;4240;0;2
r;418523450;140100;32851;0;2
r;418523451;140100;63235;0;2
r;418523452;140100;140176;0;2
r;418523453;140100;46057;0;2
r;418523454;140100;143156;0;2
r;418523455;140100;99719;0;2
r;418523456;140100;108750;0;2
r;418523457;140100;73126;0;2
r;418523458;140100;11088;0;2
r;418523459;140100;144149;0;2
r;418523460;140100;7804;0;2
r;418523461;140100;129092;0;2
r;418523462;140100;81803;0;2
r;418523463;140100;164367;0;2
r;418523464;140100;398404;0;2
r;418523465;140100;34441;0;2
r;418523466;140100;7577;0;2
r;418523467;140100;105800;0;2
r;418523468;140100;134010;0;2
r;418523469;140100;420039;0;2
r;418523470;140100;119571;0;2
r;418523471;140100;459536;0;2
r;418523472;140100;113050;0;2
r;418523473;140100;145655;0;2
r;418523474;140100;4528;0;2
r;418523477;140100;30112;0;2
r;418523478;140100;155699;0;2
r;351439553;140100;2587823;0;3
r;373295080;140100;14465547;0;3
r;10009688;140100;140397;0;4
r;12860418;140100;223492;0;4
r;12878533;140100;322821;0;4
r;12878547;140100;322820;0;4
r;374013645;140100;14665349;0;4
r;10132881;140100;77008;0;5
r;31837059;140100;1972666;0;5
r;10009690;140100;74558;0;6
r;33782313;140100;261312;0;6
r;34697577;140100;2348405;0;6
r;34697599;140100;2348419;0;6
r;10165060;140100;225934;0;7
r;33782310;140100;25901;0;7
r;34192468;140100;568688;0;7
r;95131726;140100;3745134;0;7
r;365170908;140100;14319192;0;7
r;10528334;140100;146274;0;9
r;31837408;140100;1973224;0;9
r;93807216;140100;3760623;0;9
r;10535307;140100;213125;0;11
r;10535309;140100;68925;0;11
r;10536489;140100;36886;0;11
r;101929371;140100;117156;0;11
r;187748573;140100;8785234;0;11
r;277592090;140100;9778155;0;11
r;10559218;140100;120157;0;12
r;277592088;140100;9749583;0;12
r;9899466;140100;15196;0;13
r;10345034;140100;233138;0;13
r;246126531;140100;3762435;0;13
r;10009685;140100;109785;0;14
r;10121882;140100;144846;0;14
r;10535311;140100;216950;0;14
r;25243423;140100;254057;0;14
r;277591932;140100;9241627;0;14
r;10460063;140100;219363;0;15
r;24533235;140100;1483345;0;15
r;25306273;140100;378743;0;15
r;25306283;140100;236951;0;15
r;25369508;140100;367351;0;15
r;96709662;140100;160013;0;15
r;96709663;140100;216283;0;15
r;96709664;140100;214601;0;15
r;96709665;140100;95256;0;15
r;96709666;140100;50751;0;15
r;96709667;140100;77424;0;15
r;96709668;140100;13115;0;15
r;96709669;140100;258619;0;15
r;96709670;140100;16110;0;15
r;96709671;140100;152946;0;15
