r;rid;node1;node2;type;w
r;23926157;73827;239128;0;1000000
r;73955179;73827;2983124;555;21586
r;122257;73827;123408;22;850
r;205132;73827;46211;5;807
r;129654;73827;76583;22;800
r;129653;73827;102641;22;720
r;185572;73827;86306;5;657
r;122256;73827;115083;22;620
r;1995429;73827;223172;36;567
r;136648;73827;131428;22;530
r;12004767;73827;102641;35;515
r;129652;73827;153166;22;510
r;104326;73827;102641;0;458
r;8897494;73827;82345;5;443
r;560950;73827;114629;5;422
r;129655;73827;55224;22;420
r;8897526;73827;117557;5;394
r;12004766;73827;167847;35;365
r;560957;73827;54585;5;362
r;560958;73827;14581;5;359
r;560964;73827;84321;5;356
r;8897540;73827;137420;5;355
r;8897523;73827;37457;5;350
r;560944;73827;121316;5;347
r;8897472;73827;24646;5;341
r;104325;73827;97756;0;310
r;147578;73827;153752;22;310
r;8897542;73827;138539;5;288
r;2059621;73827;241794;36;287
r;113624;73827;140176;0;270
r;560941;73827;117101;5;267
r;8897482;73827;4653;5;262
r;8897537;73827;231;5;257
r;8897554;73827;41983;5;250
r;72987480;73827;103405;32;247
r;560959;73827;123816;5;240
r;560960;73827;35966;5;229
r;8897498;73827;17057;5;223
r;106499;73827;46211;0;222
r;560946;73827;34104;5;218
r;370592;73827;77306;31;215
r;429225651;73827;77306;31;215
r;33158727;73827;22264;32;210
r;33158725;73827;626;32;209
r;2489430;73827;195882;35;205
r;33158726;73827;20202;32;204
r;466670;73827;167847;0;203
r;154376;73827;51283;22;200
r;1883193;73827;146357;42;200
r;560951;73827;64244;5;194
r;8897497;73827;56921;5;192
r;142610;73827;19425;22;190
r;372889;73827;97173;31;190
r;1790326;73827;43853;42;190
r;9359666;73827;195882;0;187
r;140221;73827;26794;22;180
r;12985555;73827;139578;42;178
r;125723113;73827;6880460;42;176
r;113628;73827;135139;0;174
r;560954;73827;90501;5;172
r;8897534;73827;69093;5;170
r;621814;73827;135139;35;170
r;560961;73827;130779;5;169
r;8570185;73827;733;11;169
r;8897527;73827;111539;5;168
r;8572921;73827;8883;11;168
r;1660025;73827;148105;16;166
r;8666835;73827;199547;11;165
r;8669152;73827;200743;11;165
r;8645917;73827;186019;11;164
r;8647554;73827;186819;11;164
r;8588301;73827;54279;11;163
r;8600221;73827;88958;11;163
r;8606269;73827;105957;11;162
r;8628244;73827;163121;11;162
r;8675138;73827;204295;11;162
r;8687659;73827;212171;11;162
r;8693897;73827;222661;11;161
r;8698158;73827;229269;11;161
r;8704831;73827;237503;11;161
r;8705762;73827;238900;11;161
r;8707336;73827;242071;11;161
r;8712290;73827;248962;11;161
r;8724012;73827;258418;11;161
r;8724014;73827;258419;11;161
r;8724018;73827;258421;11;161
r;8724019;73827;258422;11;161
r;8897492;73827;16810;5;160
r;8712592;73827;249317;11;160
r;462315;73827;97718;13;160
r;2431645;73827;136472;42;160
r;560945;73827;68687;5;153
r;8897513;73827;97337;5;151
r;390526873;73827;14923320;333;151
r;132945;73827;97756;16;150
r;372887;73827;20564;31;150
r;1891431;73827;9864;42;150
r;2431644;73827;25553;42;150
r;8897488;73827;54571;5;148
