r;rid;node1;node2;type;w
r;291369623;91240;423891;0;-25
r;365425040;91240;102705;0;1
r;370454063;91240;37257;0;1
r;371537073;91240;267;0;1
r;50749653;91240;2356344;0;3
r;9997660;91240;139209;0;4
r;9999633;91240;158961;0;4
r;9999638;91240;98286;0;4
r;9999636;91240;228450;0;4
r;9986727;91240;33256;0;4
r;9998345;91240;25384;0;5
r;9997813;91240;8254;0;5
r;10048348;91240;114318;0;5
r;10048351;91240;57914;0;5
r;429305078;91240;215453;0;5
r;429305125;91240;7863247;0;5
r;34185225;91240;2334349;0;6
r;108286525;91240;103568;0;6
r;9999635;91240;162327;0;7
r;328343444;91240;157283;0;7
r;34322641;91240;2340022;0;8
r;34389919;91240;1656167;0;9
r;34389960;91240;1656168;0;9
r;9974731;91240;62067;0;10
r;9974341;91240;136786;0;10
r;9974340;91240;87887;0;10
r;9974343;91240;1055;0;10
r;429361221;91240;7842445;0;10
r;9998518;91240;151638;0;11
r;53081532;91240;2564200;0;11
r;1437722;91240;203390;0;15
r;1437723;91240;128712;0;15
r;25423822;91240;90220;0;15
r;25423824;91240;153654;0;15
r;25423825;91240;159782;0;15
r;25423826;91240;163879;0;15
r;25423827;91240;144094;0;15
r;25423829;91240;389358;0;15
r;25423830;91240;318932;0;15
r;25423831;91240;389368;0;15
r;25423832;91240;389363;0;15
r;25423833;91240;389367;0;15
r;25423834;91240;389352;0;15
r;25423835;91240;389351;0;15
r;25423836;91240;389373;0;15
r;25423837;91240;389364;0;15
r;25423838;91240;389366;0;15
r;25423839;91240;389353;0;15
r;25423840;91240;389362;0;15
r;25423841;91240;389354;0;15
r;25423842;91240;389355;0;15
r;25423843;91240;389356;0;15
r;25423844;91240;389360;0;15
r;25423845;91240;260579;0;15
r;25423846;91240;389357;0;15
r;25423847;91240;276744;0;15
r;25423848;91240;389375;0;15
r;25423849;91240;389359;0;15
r;25423850;91240;33183;0;15
r;25423851;91240;276745;0;15
r;25423852;91240;389388;0;15
r;25423853;91240;389361;0;15
r;25423854;91240;389369;0;15
r;25423855;91240;298415;0;15
r;25423856;91240;199012;0;15
r;25423857;91240;225443;0;15
r;25423858;91240;389376;0;15
r;25423859;91240;389391;0;15
r;25423860;91240;159736;0;15
r;25423861;91240;244530;0;15
r;25423862;91240;199014;0;15
r;25423863;91240;389392;0;15
r;25423864;91240;232673;0;15
r;25423865;91240;389377;0;15
r;25423866;91240;389378;0;15
r;25423867;91240;389379;0;15
r;25423868;91240;285660;0;15
r;25423871;91240;389371;0;15
r;25423872;91240;284735;0;15
r;25423873;91240;284736;0;15
r;25423874;91240;137870;0;15
r;25423875;91240;49511;0;15
r;25423876;91240;258964;0;15
r;25423877;91240;275620;0;15
r;25423878;91240;275619;0;15
r;25423879;91240;389390;0;15
r;25423880;91240;389380;0;15
r;25423881;91240;83034;0;15
r;25423883;91240;29745;0;15
r;25423884;91240;389331;0;15
r;25423885;91240;389332;0;15
r;25423886;91240;137966;0;15
r;25423888;91240;389334;0;15
r;25423889;91240;389382;0;15
r;25423890;91240;389335;0;15
r;25423891;91240;261861;0;15
r;25423892;91240;389336;0;15
r;25423893;91240;389383;0;15
r;25423894;91240;70721;0;15
r;25423895;91240;83223;0;15
r;25423896;91240;250124;0;15
r;25423897;91240;389329;0;15
r;25423898;91240;199010;0;15
r;25423899;91240;199013;0;15
r;25423900;91240;49232;0;15
r;25423901;91240;282072;0;15
r;25423902;91240;389324;0;15
r;25423904;91240;389326;0;15
r;25423905;91240;389327;0;15
r;25423906;91240;389381;0;15
r;25423907;91240;293838;0;15
r;25423908;91240;299796;0;15
r;25423909;91240;214748;0;15
r;25423911;91240;64623;0;15
r;25423912;91240;568187;0;15
r;25423913;91240;389341;0;15
